          %pt            TT            TS            SS            SS2j            Tot
        0.050    9.01885E-01    1.99771E-04    3.39625E-04    3.39580E-04    9.02764E-01
        1.048    4.61123E-01    3.94244E-02    1.27861E-02    1.12149E-02    5.24548E-01
        2.045    6.62379E-02    2.63891E-01    3.62054E-02    3.03323E-02    3.96666E-01
        3.043    4.80755E-03    1.58502E-01    3.39328E-02    3.81247E-02    2.35367E-01
        4.040    2.55698E-04    4.07757E-02    1.23594E-02    1.40747E-02    6.74655E-02
        5.038    1.16011E-05    1.25953E-02    4.90391E-03    4.19350E-03    2.17043E-02
        6.035    4.80712E-07    4.51322E-03    2.17400E-03    1.44097E-03    8.12868E-03
        7.033    1.88294E-08    1.81505E-03    1.05287E-03    5.54418E-04    3.42236E-03
        8.030    7.10617E-10    8.00359E-04    5.47783E-04    2.33632E-04    1.58177E-03
        9.028    2.61345E-11    3.80451E-04    3.02292E-04    1.06037E-04    7.88780E-04
       10.025    9.43386E-13    1.92483E-04    1.75186E-04    5.11620E-05    4.18831E-04
       11.023    3.35830E-14    1.02631E-04    1.05763E-04    2.59696E-05    2.34364E-04
       12.020    1.18283E-15    5.72205E-05    6.60708E-05    1.37493E-05    1.37041E-04
       13.018    4.13149E-17    3.31444E-05    4.24601E-05    7.53748E-06    8.31420E-05
       14.015    1.43351E-18    1.98364E-05    2.79217E-05    4.25138E-06    5.20095E-05
       15.013    4.94717E-20    1.22060E-05    1.86939E-05    2.45291E-06    3.33528E-05
       16.010    1.69977E-21    7.68620E-06    1.26790E-05    1.43987E-06    2.18051E-05
       17.008    5.81864E-23    4.92977E-06    8.66696E-06    8.55417E-07    1.44521E-05
       18.005    1.98568E-24    3.20427E-06    5.93820E-06    5.11617E-07    9.65408E-06
       19.003    6.75855E-26    2.09878E-06    4.05336E-06    3.06363E-07    6.45850E-06
