          %pt            TT            TS            SS            SS2j            Tot
        0.050    1.88037E-03    2.79669E-09    4.35662E-08    1.30139E-07    1.88054E-03
        1.048    1.08030E-03    4.02758E-06    1.47350E-05    9.84019E-05    1.19747E-03
        2.045    1.85308E-04    1.33995E-05    4.67012E-05    3.89016E-04    6.34425E-04
        3.043    1.25531E-05    1.40522E-05    3.59564E-05    4.53369E-04    5.15931E-04
        4.040    4.97505E-07    6.93079E-06    1.75417E-05    1.80180E-04    2.05150E-04
        5.038    1.45236E-08    1.68580E-06    8.96364E-06    7.70719E-05    8.77359E-05
        6.035    3.52759E-10    1.96406E-07    4.82719E-06    3.54177E-05    4.04417E-05
        7.033    7.61998E-12    1.72582E-08    2.73421E-06    1.73485E-05    2.01000E-05
        8.030    1.52147E-13    1.50351E-09    1.62089E-06    8.97673E-06    1.05991E-05
        9.028    2.87513E-15    1.31108E-10    1.00014E-06    4.86593E-06    5.86620E-06
