          %pt            TT            TS            SS            SS2j            Tot
        0.050    2.05199E-03    5.57910E-08    4.04194E-08    6.65742E-08    2.05215E-03
        1.048    1.06451E-03    4.28796E-05    6.92224E-06    3.04031E-05    1.14471E-03
        2.045    1.73337E-04    1.10483E-04    2.01159E-05    1.24487E-04    4.28422E-04
        3.043    1.19537E-05    9.25685E-05    1.38154E-05    1.37667E-04    2.56005E-04
        4.040    4.89963E-07    3.81479E-05    5.88774E-06    4.46038E-05    8.91294E-05
        5.038    1.47754E-08    8.00105E-06    2.69822E-06    1.59202E-05    2.66342E-05
        6.035    3.69123E-10    8.02743E-07    1.32581E-06    6.23251E-06    8.36142E-06
        7.033    8.16738E-12    6.10403E-08    6.93592E-07    2.64797E-06    3.40261E-06
        8.030    1.66484E-13    4.70982E-09    3.83261E-07    1.20707E-06    1.59504E-06
        9.028    3.20340E-15    3.70233E-10    2.22031E-07    5.84243E-07    8.06645E-07
       10.025    5.91057E-17    2.96951E-11    1.33972E-07    2.97569E-07    4.31571E-07
       11.023    1.05685E-18    2.43031E-12    8.37205E-08    1.58265E-07    2.41987E-07
       12.020    1.84476E-20    2.02813E-13    5.39176E-08    8.73253E-08    1.41243E-07
       13.018    3.16001E-22    1.72396E-14    3.56313E-08    4.97058E-08    8.53371E-08
       14.015    5.33233E-24    1.49082E-15    2.40679E-08    2.90425E-08    5.31104E-08
       15.013    8.88942E-26    1.30996E-16    1.65563E-08    1.73418E-08    3.38981E-08
       16.010    1.46725E-27    1.16819E-17    1.15572E-08    1.05391E-08    2.20964E-08
       17.008    2.40184E-29    1.05613E-18    8.15654E-09    6.49342E-09    1.46500E-08
       18.005    3.90456E-31    9.66988E-20    5.79677E-09    4.04029E-09    9.83705E-09
