          %pt            TT            TS            SS            SS2j            Tot
        0.050    2.05199E-03    7.74583E-08    4.35662E-08    1.30139E-07    2.05224E-03
        1.048    1.06451E-03    9.95982E-05    1.47350E-05    9.84019E-05    1.27724E-03
        2.045    1.73337E-04    2.64562E-04    4.67012E-05    3.89016E-04    8.73616E-04
        3.043    1.19537E-05    2.22998E-04    3.59564E-05    4.53369E-04    7.24277E-04
        4.040    4.89963E-07    9.24897E-05    1.75417E-05    1.80180E-04    2.90702E-04
        5.038    1.47754E-08    1.97375E-05    8.96364E-06    7.70719E-05    1.05788E-04
        6.035    3.69123E-10    2.08269E-06    4.82719E-06    3.54177E-05    4.23280E-05
        7.033    8.16738E-12    1.69560E-07    2.73421E-06    1.73485E-05    2.02523E-05
        8.030    1.66484E-13    1.39123E-08    1.62089E-06    8.97673E-06    1.06115E-05
        9.028    3.20340E-15    1.15636E-09    1.00014E-06    4.86593E-06    5.86722E-06
       10.025    5.91057E-17    9.76068E-11    6.38962E-07    2.74315E-06    3.38221E-06
       11.023    1.05685E-18    8.37373E-12    4.20659E-07    1.59833E-06    2.01899E-06
       12.020    1.84476E-20    7.30071E-13    2.84170E-07    9.57400E-07    1.24157E-06
       13.018    3.16001E-22    6.46489E-14    1.96223E-07    5.86836E-07    7.83059E-07
       14.015    5.33233E-24    5.80964E-15    1.38008E-07    3.66566E-07    5.04574E-07
       15.013    8.88942E-26    5.29334E-16    9.85311E-08    2.32475E-07    3.31006E-07
       16.010    1.46725E-27    4.88542E-17    7.11687E-08    1.49167E-07    2.20336E-07
       17.008    2.40184E-29    4.56329E-18    5.18226E-08    9.65094E-08    1.48332E-07
