          %pt            TT            TS            SS            SS2j            Tot
       10.000    2.24665E-17    7.32015E-12    1.40184E-07    9.56436E-07    1.09663E-06
       10.500    3.10709E-18    2.01152E-12    1.06215E-07    6.76170E-07    7.82387E-07
       11.000    4.25401E-19    5.56417E-13    8.13513E-08    4.83916E-07    5.65268E-07
       11.500    5.77292E-20    1.54898E-13    6.29304E-08    3.50237E-07    4.13168E-07
       12.000    7.77308E-21    4.33864E-14    4.91290E-08    2.56113E-07    3.05242E-07
       12.500    1.03937E-21    1.22243E-14    3.86799E-08    1.89065E-07    2.27745E-07
       13.000    1.38121E-22    3.46374E-15    3.06912E-08    1.40785E-07    1.71477E-07
       13.500    1.82531E-23    9.86781E-16    2.45273E-08    1.05671E-07    1.30199E-07
       14.000    2.40021E-24    2.82586E-16    1.97306E-08    7.98933E-08    9.96239E-08
       14.500    3.14202E-25    8.13275E-17    1.59675E-08    6.08050E-08    7.67725E-08
       15.000    4.09640E-26    2.35175E-17    1.29928E-08    4.65564E-08    5.95491E-08
       15.500    5.32101E-27    6.83165E-18    1.06244E-08    3.58405E-08    4.64650E-08
       16.000    6.88852E-28    1.99322E-18    8.72602E-09    2.77256E-08    3.64516E-08
       16.500    8.89052E-29    5.83989E-19    7.19450E-09    2.15406E-08    2.87351E-08
       17.000    1.14422E-29    1.71789E-19    5.95143E-09    1.67985E-08    2.27500E-08
       17.500    1.46884E-30    5.07293E-20    4.93666E-09    1.31427E-08    1.80794E-08
       18.000    1.88110E-31    1.50358E-20    4.10371E-09    1.03102E-08    1.44139E-08
       18.500    2.40382E-32    4.47233E-21    3.41647E-09    8.10531E-09    1.15218E-08
       19.000    3.06562E-33    1.33482E-21    2.84667E-09    6.38188E-09    9.22854E-09
       19.500    3.90234E-34    3.99699E-22    2.37209E-09    5.02970E-09    7.40178E-09
