          %pt            TT            TS            SS            SS2j            Tot
        0.050    5.40802E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.250    5.11716E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.449    4.50126E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.649    3.68683E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.848    2.81861E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.048    2.01752E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.247    1.35693E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.447    8.60901E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.646    5.17349E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.846    2.95696E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.045    1.61400E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.245    8.44623E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.444    4.25336E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.644    2.06831E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.843    9.74332E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.043    4.45943E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.242    1.98836E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.442    8.65777E-09    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.641    3.68948E-09    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.841    1.54180E-09    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.040    6.32948E-10    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.240    2.55667E-10    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.439    1.01758E-10    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.639    3.99591E-11    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.838    1.54992E-11    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.038    5.94439E-12    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.237    2.25638E-12    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.437    8.48380E-13    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.636    3.16208E-13    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.836    1.16911E-13    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.035    4.29052E-14    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.235    1.56380E-14    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.434    5.66352E-15    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.634    2.03906E-15    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.833    7.30122E-16    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.033    2.60105E-16    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.232    9.22232E-17    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.432    3.25546E-17    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.631    1.14443E-17    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.831    4.00766E-18    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.030    1.39837E-18    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.230    4.86276E-19    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.429    1.68563E-19    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.629    5.82568E-20    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.828    2.00776E-20    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.028    6.90127E-21    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.227    2.36627E-21    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.427    8.09432E-22    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.626    2.76269E-22    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.826    9.40968E-23    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.025    3.19857E-23    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.225    1.08523E-23    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.424    3.67548E-24    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.624    1.24272E-24    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.823    4.19507E-25    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.023    1.41398E-25    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.222    4.75904E-26    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.422    1.59955E-26    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.621    5.36918E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.821    1.80002E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       12.020    6.02737E-28    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
