          %x            Dc/Dg
        0.010    1.46909E-06
        0.020    1.92710E-06
        0.030    2.25029E-06
        0.040    2.50530E-06
        0.050    2.71713E-06
        0.060    2.89833E-06
        0.070    3.05627E-06
        0.080    3.19570E-06
        0.090    3.31989E-06
        0.100    3.43122E-06
        0.110    3.53145E-06
        0.120    3.62198E-06
        0.130    3.70390E-06
        0.140    3.77808E-06
        0.150    3.84525E-06
        0.160    3.90603E-06
        0.170    3.96093E-06
        0.180    4.01039E-06
        0.190    4.05478E-06
        0.200    4.09444E-06
        0.210    4.12966E-06
        0.220    4.16070E-06
        0.230    4.18779E-06
        0.240    4.21112E-06
        0.250    4.23090E-06
        0.260    4.24728E-06
        0.270    4.26043E-06
        0.280    4.27047E-06
        0.290    4.27755E-06
        0.300    4.28178E-06
        0.310    4.28328E-06
        0.320    4.28214E-06
        0.330    4.27848E-06
        0.340    4.27238E-06
        0.350    4.26392E-06
        0.360    4.25321E-06
        0.370    4.24031E-06
        0.380    4.22530E-06
        0.390    4.20826E-06
        0.400    4.18926E-06
        0.410    4.16838E-06
        0.420    4.14567E-06
        0.430    4.12120E-06
        0.440    4.09505E-06
        0.450    4.06727E-06
        0.460    4.03793E-06
        0.470    4.00710E-06
        0.480    3.97483E-06
        0.490    3.94119E-06
        0.500    3.90623E-06
        0.510    3.87002E-06
        0.520    3.83262E-06
        0.530    3.79409E-06
        0.540    3.75449E-06
        0.550    3.71388E-06
        0.560    3.67230E-06
        0.570    3.62983E-06
        0.580    3.58651E-06
        0.590    3.54241E-06
        0.600    3.49756E-06
        0.610    3.45202E-06
        0.620    3.40583E-06
        0.630    3.35905E-06
        0.640    3.31170E-06
        0.650    3.26382E-06
        0.660    3.21543E-06
        0.670    3.16655E-06
        0.680    3.11720E-06
        0.690    3.06737E-06
        0.700    3.01705E-06
        0.710    2.96622E-06
        0.720    2.91484E-06
        0.730    2.86284E-06
        0.740    2.81015E-06
        0.750    2.75666E-06
        0.760    2.70225E-06
        0.770    2.64675E-06
        0.780    2.58997E-06
        0.790    2.53167E-06
        0.800    2.47157E-06
        0.810    2.40935E-06
        0.820    2.34463E-06
        0.830    2.27696E-06
        0.840    2.20583E-06
        0.850    2.13066E-06
        0.860    2.05080E-06
        0.870    1.96550E-06
        0.880    1.87392E-06
        0.890    1.77516E-06
        0.900    1.66820E-06
        0.910    1.55195E-06
        0.920    1.42528E-06
        0.930    1.28700E-06
        0.940    1.13601E-06
        0.950    9.71330E-07
        0.960    7.92374E-07
        0.970    5.99372E-07
        0.980    3.94354E-07
        0.990    1.84023E-07
        1.000    0.00000E+00
