          %pt            Sj
        0.057    4.37292E-05
        0.063    4.68895E-05
        0.069    4.99330E-05
        0.076    5.28730E-05
        0.082    5.57033E-05
        0.089    5.84419E-05
        0.095    6.11280E-05
        0.102    6.37444E-05
        0.109    6.62963E-05
        0.115    6.87885E-05
        0.122    7.12249E-05
        0.128    7.36091E-05
        0.134    7.59441E-05
        0.141    7.82329E-05
        0.147    8.04777E-05
        0.154    8.26810E-05
        0.161    8.48273E-05
        0.167    8.69528E-05
        0.174    8.90422E-05
        0.180    9.10970E-05
        0.186    9.31187E-05
        0.193    9.51085E-05
        0.199    9.70174E-05
        0.206    9.89460E-05
        0.212    1.00846E-04
        0.219    1.02719E-04
        0.226    1.04530E-04
        0.232    1.06350E-04
        0.238    1.08144E-04
        0.245    1.09915E-04
        0.252    1.11661E-04
        0.258    1.13385E-04
        0.264    1.15086E-04
        0.271    1.16753E-04
        0.278    1.18412E-04
        0.284    1.20049E-04
        0.291    1.21643E-04
        0.297    1.23240E-04
        0.304    1.24818E-04
        0.310    1.26360E-04
        0.317    1.27901E-04
        0.323    1.29424E-04
        0.330    1.30929E-04
        0.336    1.32416E-04
        0.343    1.33887E-04
        0.349    1.35341E-04
        0.356    1.36779E-04
        0.362    1.38200E-04
        0.369    1.39606E-04
        0.375    1.40997E-04
        0.382    1.42372E-04
        0.388    1.43732E-04
        0.395    1.45078E-04
        0.401    1.46409E-04
        0.407    1.47714E-04
        0.414    1.49017E-04
        0.421    1.50306E-04
        0.427    1.51582E-04
        0.434    1.52844E-04
        0.440    1.54093E-04
        0.447    1.55329E-04
        0.453    1.56552E-04
        0.460    1.57763E-04
        0.466    1.58961E-04
        0.473    1.60147E-04
        0.479    1.61321E-04
        0.486    1.62483E-04
        0.492    1.63633E-04
        0.499    1.64771E-04
        0.505    1.65898E-04
        0.512    1.67014E-04
        0.518    1.68118E-04
        0.525    1.69211E-04
        0.531    1.70294E-04
        0.538    1.71365E-04
        0.544    1.72426E-04
        0.551    1.73476E-04
        0.557    1.74516E-04
        0.563    1.75545E-04
        0.570    1.76564E-04
        0.576    1.77573E-04
        0.583    1.78572E-04
        0.590    1.79561E-04
        0.596    1.80540E-04
        0.603    1.81509E-04
        0.609    1.82469E-04
        0.616    1.83419E-04
        0.622    1.84360E-04
        0.628    1.85292E-04
        0.635    1.86214E-04
        0.641    1.87110E-04
        0.648    1.88002E-04
        0.655    1.88897E-04
        0.661    1.89783E-04
        0.668    1.90660E-04
        0.674    1.91529E-04
        0.681    1.92389E-04
        0.687    1.93240E-04
        0.693    1.94083E-04
        0.700    1.94917E-04
        0.706    1.95743E-04
        0.713    1.96561E-04
        0.720    1.97371E-04
        0.726    1.98172E-04
        0.733    1.98965E-04
        0.739    1.99751E-04
        0.746    2.00528E-04
        0.752    2.01298E-04
        0.759    2.02059E-04
        0.765    2.02814E-04
        0.771    2.03560E-04
        0.778    2.04299E-04
        0.785    2.05030E-04
        0.791    2.05754E-04
        0.798    2.06470E-04
        0.804    2.07179E-04
        0.811    2.07881E-04
        0.817    2.08575E-04
        0.824    2.09262E-04
        0.830    2.09942E-04
        0.836    2.10615E-04
        0.843    2.11281E-04
        0.850    2.11940E-04
        0.856    2.12592E-04
        0.863    2.13237E-04
        0.869    2.13876E-04
        0.876    2.14507E-04
        0.882    2.15132E-04
        0.889    2.15750E-04
        0.895    2.16362E-04
        0.901    2.16967E-04
        0.908    2.17565E-04
        0.914    2.18157E-04
        0.921    2.18743E-04
        0.928    2.19322E-04
        0.934    2.19895E-04
        0.941    2.20461E-04
        0.947    2.21022E-04
        0.954    2.21576E-04
        0.960    2.22124E-04
        0.966    2.22666E-04
        0.973    2.23201E-04
        0.979    2.23731E-04
        0.986    2.24255E-04
        0.993    2.24773E-04
        0.999    2.25285E-04
        1.005    2.25791E-04
        1.012    2.26291E-04
        1.018    2.26786E-04
        1.025    2.27250E-04
        1.031    2.27733E-04
        1.038    2.28211E-04
        1.044    2.28682E-04
        1.051    2.29149E-04
        1.058    2.29609E-04
        1.064    2.30064E-04
        1.070    2.30514E-04
        1.077    2.30958E-04
        1.083    2.31397E-04
        1.090    2.31831E-04
        1.096    2.32259E-04
        1.103    2.32682E-04
        1.109    2.33099E-04
        1.116    2.33512E-04
        1.122    2.33919E-04
        1.129    2.34321E-04
        1.135    2.34718E-04
        1.142    2.35110E-04
        1.148    2.35497E-04
        1.155    2.35879E-04
        1.161    2.36256E-04
        1.168    2.36628E-04
        1.174    2.36995E-04
        1.181    2.37358E-04
        1.188    2.37715E-04
        1.194    2.38068E-04
        1.201    2.38416E-04
        1.207    2.38759E-04
        1.213    2.39098E-04
        1.220    2.39431E-04
        1.226    2.39761E-04
        1.233    2.40085E-04
        1.239    2.40405E-04
        1.246    2.40721E-04
        1.252    2.41032E-04
        1.259    2.41338E-04
        1.265    2.41640E-04
        1.272    2.41938E-04
        1.278    2.42232E-04
        1.285    2.42520E-04
        1.291    2.42805E-04
        1.298    2.43085E-04
        1.304    2.43362E-04
        1.311    2.43633E-04
        1.317    2.43901E-04
        1.324    2.44165E-04
        1.331    2.44424E-04
        1.337    2.44679E-04
        1.343    2.44930E-04
        1.350    2.45177E-04
        1.356    2.45420E-04
        1.363    2.45660E-04
        1.369    2.45895E-04
        1.376    2.46126E-04
        1.382    2.46353E-04
        1.389    2.46576E-04
        1.395    2.46796E-04
        1.402    2.47012E-04
        1.408    2.47223E-04
        1.415    2.47431E-04
        1.421    2.47636E-04
        1.428    2.47836E-04
        1.434    2.48033E-04
        1.441    2.48226E-04
        1.447    2.48416E-04
        1.454    2.48602E-04
        1.461    2.48784E-04
        1.467    2.48963E-04
        1.473    2.49138E-04
        1.480    2.49310E-04
        1.486    2.49478E-04
        1.493    2.49643E-04
        1.499    2.49805E-04
        1.506    2.49963E-04
        1.512    2.50117E-04
        1.519    2.50268E-04
        1.525    2.50416E-04
        1.532    2.50561E-04
        1.538    2.50702E-04
        1.545    2.50840E-04
        1.551    2.50975E-04
        1.558    2.51106E-04
        1.564    2.51234E-04
        1.571    2.51360E-04
        1.577    2.51481E-04
        1.584    2.51600E-04
        1.590    2.51716E-04
        1.597    2.51829E-04
        1.604    2.51938E-04
        1.610    2.52045E-04
        1.616    2.52149E-04
        1.623    2.52249E-04
        1.629    2.52347E-04
        1.636    2.52442E-04
        1.642    2.52533E-04
        1.649    2.52622E-04
        1.655    2.52708E-04
        1.662    2.52791E-04
        1.668    2.52872E-04
        1.675    2.52949E-04
        1.681    2.53024E-04
        1.688    2.53096E-04
        1.694    2.53165E-04
        1.701    2.53232E-04
        1.707    2.53295E-04
        1.714    2.53356E-04
        1.720    2.53415E-04
        1.727    2.53471E-04
        1.734    2.53524E-04
        1.740    2.53574E-04
        1.746    2.53622E-04
