          %pt            TT            TS            SS            Tot
        0.050    1.28141E-01    6.91450E-06    2.37594E-05    1.28172E-01
        0.064    1.28087E-01    9.68965E-06    2.76034E-05    1.28125E-01
        0.078    1.28020E-01    1.27713E-05    3.11063E-05    1.28064E-01
        0.092    1.27940E-01    1.61412E-05    3.43500E-05    1.27990E-01
        0.106    1.27846E-01    1.97856E-05    3.73884E-05    1.27903E-01
        0.120    1.27739E-01    2.36940E-05    4.02596E-05    1.27803E-01
        0.133    1.27619E-01    2.78580E-05    4.29921E-05    1.27690E-01
        0.147    1.27485E-01    3.22716E-05    4.56076E-05    1.27562E-01
        0.161    1.27336E-01    3.69297E-05    4.81233E-05    1.27422E-01
        0.175    1.27174E-01    4.18288E-05    5.05532E-05    1.27267E-01
        0.189    1.26998E-01    4.69661E-05    5.29085E-05    1.27098E-01
        0.203    1.26808E-01    5.23396E-05    5.51990E-05    1.26915E-01
        0.217    1.26602E-01    5.79481E-05    5.74325E-05    1.26717E-01
        0.231    1.26382E-01    6.37908E-05    5.96161E-05    1.26505E-01
        0.245    1.26146E-01    6.98676E-05    6.17554E-05    1.26277E-01
        0.259    1.25894E-01    7.61785E-05    6.38556E-05    1.26034E-01
        0.272    1.25627E-01    8.27242E-05    6.59210E-05    1.25775E-01
        0.286    1.25343E-01    8.95054E-05    6.79556E-05    1.25500E-01
        0.300    1.25042E-01    9.65234E-05    6.99625E-05    1.25208E-01
        0.314    1.24723E-01    1.03780E-04    7.19449E-05    1.24899E-01
        0.328    1.24387E-01    1.11275E-04    7.39052E-05    1.24572E-01
        0.342    1.24033E-01    1.19013E-04    7.58457E-05    1.24228E-01
        0.356    1.23660E-01    1.26995E-04    7.77686E-05    1.23865E-01
        0.370    1.23268E-01    1.35223E-04    7.96755E-05    1.23483E-01
        0.384    1.22856E-01    1.43700E-04    8.15682E-05    1.23081E-01
        0.398    1.22424E-01    1.52428E-04    8.34479E-05    1.22660E-01
        0.411    1.21972E-01    1.61412E-04    8.53161E-05    1.22219E-01
        0.425    1.21499E-01    1.70654E-04    8.71738E-05    1.21757E-01
        0.439    1.21005E-01    1.80159E-04    8.90222E-05    1.21274E-01
        0.453    1.20489E-01    1.89929E-04    9.08621E-05    1.20770E-01
        0.467    1.19951E-01    1.99970E-04    9.26944E-05    1.20244E-01
        0.481    1.19391E-01    2.10285E-04    9.45200E-05    1.19696E-01
        0.495    1.18809E-01    2.20881E-04    9.63395E-05    1.19126E-01
        0.509    1.18204E-01    2.31761E-04    9.81536E-05    1.18534E-01
        0.523    1.17575E-01    2.42932E-04    9.99629E-05    1.17918E-01
        0.537    1.16924E-01    2.54399E-04    1.01768E-04    1.17280E-01
        0.550    1.16249E-01    2.66169E-04    1.03570E-04    1.16619E-01
        0.564    1.15551E-01    2.78249E-04    1.05368E-04    1.15935E-01
        0.578    1.14829E-01    2.90646E-04    1.07164E-04    1.15227E-01
        0.592    1.14084E-01    3.03366E-04    1.08958E-04    1.14497E-01
        0.606    1.13316E-01    3.16419E-04    1.10751E-04    1.13743E-01
        0.620    1.12525E-01    3.29812E-04    1.12542E-04    1.12967E-01
        0.634    1.11710E-01    3.43555E-04    1.14333E-04    1.12168E-01
        0.648    1.10872E-01    3.57657E-04    1.16123E-04    1.11346E-01
        0.662    1.10012E-01    3.72127E-04    1.17914E-04    1.10502E-01
        0.676    1.09129E-01    3.86976E-04    1.19706E-04    1.09636E-01
        0.689    1.08224E-01    4.02214E-04    1.21499E-04    1.08748E-01
        0.703    1.07298E-01    4.17852E-04    1.23294E-04    1.07839E-01
        0.717    1.06350E-01    4.33903E-04    1.25091E-04    1.06909E-01
        0.731    1.05381E-01    4.50377E-04    1.26891E-04    1.05958E-01
        0.745    1.04392E-01    4.67289E-04    1.28695E-04    1.04988E-01
        0.759    1.03383E-01    4.84649E-04    1.30502E-04    1.03998E-01
        0.773    1.02355E-01    5.02472E-04    1.32313E-04    1.02989E-01
