          %pt            TT            TS            SS            SS2j            Tot
        0.050    3.79535E-01    1.50578E-04    4.29566E-04    5.18242E-04    3.80633E-01
        1.048    4.08879E-01    2.04925E-02    1.65453E-02    1.62682E-02    4.62185E-01
        2.045    1.19453E-01    1.43228E-01    4.63300E-02    4.39375E-02    3.52949E-01
        3.043    1.61526E-02    1.32848E-01    3.55514E-02    5.00308E-02    2.34583E-01
        4.040    1.54627E-03    3.55484E-02    1.23594E-02    1.43864E-02    6.38405E-02
        5.038    1.24178E-04    1.10252E-02    4.90391E-03    4.19707E-03    2.02504E-02
        6.035    9.02425E-06    3.96000E-03    2.17400E-03    1.41756E-03    7.56059E-03
        7.033    6.16472E-07    1.59597E-03    1.05287E-03    5.37820E-04    3.18728E-03
        8.030    4.04279E-08    7.05208E-04    5.47783E-04    2.24079E-04    1.47711E-03
        9.028    2.57718E-09    3.35914E-04    3.02292E-04    1.00774E-04    7.38982E-04
       10.025    1.60963E-10    1.70313E-04    1.75186E-04    4.82651E-05    3.93764E-04
       11.023    9.90128E-12    9.10195E-05    1.05763E-04    2.43550E-05    2.21138E-04
       12.020    6.01995E-13    5.08816E-05    6.60708E-05    1.28342E-05    1.29787E-04
       13.018    3.62688E-14    2.95709E-05    4.24601E-05    7.01001E-06    7.90410E-05
