          %pt            TT            TS            SS            SS2j            Tot
        0.050    9.01885E-01    4.80482E-06    2.94864E-05    2.45533E-06    9.01921E-01
        1.048    4.61123E-01    1.42571E-03    1.43964E-03    1.03391E-04    4.64092E-01
        2.045    6.62379E-02    9.74896E-03    4.15293E-03    2.86663E-04    8.04265E-02
        3.043    4.80755E-03    5.22126E-03    3.73405E-03    3.53262E-04    1.41161E-02
        4.040    2.55698E-04    1.13307E-03    1.19904E-03    1.13140E-04    2.70095E-03
        5.038    1.16011E-05    3.09218E-04    4.31020E-04    2.91710E-05    7.81010E-04
        6.035    4.80712E-07    1.00924E-04    1.77134E-04    8.96858E-06    2.87507E-04
        7.033    1.88294E-08    3.77094E-05    8.07578E-05    3.15711E-06    1.21643E-04
        8.030    7.10617E-10    1.56621E-05    3.99900E-05    1.23674E-06    5.68896E-05
        9.028    2.61345E-11    7.08297E-06    2.11771E-05    5.28034E-07    2.87881E-05
       10.025    9.43386E-13    3.43531E-06    1.18521E-05    2.41887E-07    1.55293E-05
       11.023    3.35830E-14    1.76645E-06    6.94520E-06    1.17432E-07    8.82909E-06
       12.020    1.18283E-15    9.54348E-07    4.22877E-06    5.98217E-08    5.24294E-06
       13.018    4.13149E-17    5.37789E-07    2.65793E-06    3.17121E-08    3.22743E-06
       14.015    1.43351E-18    3.14163E-07    1.71451E-06    1.73689E-08    2.04604E-06
       15.013    4.94717E-20    1.89232E-07    1.12885E-06    9.76625E-09    1.32785E-06
       16.010    1.69977E-21    1.16935E-07    7.54623E-07    5.60429E-09    8.77163E-07
       17.008    5.81864E-23    7.37642E-08    5.09405E-07    3.26356E-09    5.86433E-07
       18.005    1.98568E-24    4.72513E-08    3.45264E-07    1.91779E-09    3.94434E-07
       19.003    6.75855E-26    3.05577E-08    2.33491E-07    1.13065E-09    2.65180E-07
