          %pt            TT            TS            SS            SS2j            Tot
        0.050    9.01885E-01    7.86547E-06    5.08967E-05    6.21376E-06    9.01950E-01
        1.048    4.61123E-01    2.13541E-03    2.41383E-03    2.52409E-04    4.65925E-01
        2.045    6.62379E-02    1.45333E-02    6.84911E-03    7.00889E-04    8.83212E-02
        3.043    4.80755E-03    7.91318E-03    4.97720E-03    7.75409E-04    1.84733E-02
        4.040    2.55698E-04    1.75996E-03    1.54084E-03    1.95509E-04    3.75201E-03
        5.038    1.16011E-05    4.88976E-04    5.61316E-04    5.13677E-05    1.11326E-03
        6.035    4.80712E-07    1.61770E-04    2.33048E-04    1.60229E-05    4.11322E-04
        7.033    1.88294E-08    6.10931E-05    1.07116E-04    5.70573E-06    1.73933E-04
        8.030    7.10617E-10    2.55953E-05    5.33944E-05    2.25629E-06    8.12467E-05
        9.028    2.61345E-11    1.16588E-05    2.84314E-05    9.70949E-07    4.10611E-05
       10.025    9.43386E-13    5.68908E-06    1.59860E-05    4.47754E-07    2.21228E-05
       11.023    3.35830E-14    2.94059E-06    9.40469E-06    2.18618E-07    1.25639E-05
       12.020    1.18283E-15    1.59584E-06    5.74572E-06    1.11917E-07    7.45348E-06
       13.018    4.13149E-17    9.02806E-07    3.62195E-06    5.95818E-08    4.58434E-06
       14.015    1.43351E-18    5.29207E-07    2.34227E-06    3.27552E-08    2.90423E-06
       15.013    4.94717E-20    3.19722E-07    1.54556E-06    1.84778E-08    1.88376E-06
       16.010    1.69977E-21    1.98097E-07    1.03515E-06    1.06337E-08    1.24388E-06
       17.008    5.81864E-23    1.25254E-07    6.99916E-07    6.20797E-09    8.31377E-07
       18.005    1.98568E-24    8.03981E-08    4.75058E-07    3.65611E-09    5.59112E-07
       19.003    6.75855E-26    5.20867E-08    3.21655E-07    2.15971E-09    3.75902E-07
