          %pt            TT            TS            SS            SS2j            Tot
        0.200    4.07424E-01    6.30632E-06    7.16859E-05    1.20099E-08    4.07502E-01
        0.527    3.24093E-01    2.33957E-04    7.98186E-04    6.76815E-07    3.25125E-01
        0.853    2.13655E-01    1.24438E-03    3.35177E-03    4.14983E-06    2.18256E-01
        1.180    1.19741E-01    3.36651E-03    8.29035E-03    1.13244E-05    1.31409E-01
        1.507    5.86712E-02    6.86160E-03    1.32763E-02    2.16030E-05    7.88307E-02
        1.833    2.58114E-02    1.15214E-02    1.34253E-02    3.43456E-05    5.07924E-02
        2.160    1.04303E-02    1.58411E-02    9.20487E-03    4.79766E-05    3.55242E-02
        2.487    3.94318E-03    1.73368E-02    6.06037E-03    5.93964E-05    2.73998E-02
        2.813    1.41463E-03    1.45739E-02    4.05533E-03    6.49887E-05    2.01088E-02
        3.140    4.86880E-04    9.67748E-03    2.76540E-03    5.02178E-05    1.29800E-02
        3.467    1.62107E-04    5.82574E-03    1.92108E-03    2.83376E-05    7.93727E-03
        3.793    5.25478E-05    3.46860E-03    1.35794E-03    1.63541E-05    4.89545E-03
        4.120    1.66655E-05    2.09770E-03    9.75463E-04    9.64641E-06    3.09947E-03
        4.447    5.19107E-06    1.29576E-03    7.11217E-04    5.81020E-06    2.01798E-03
        4.773    1.59289E-06    8.17520E-04    5.25733E-04    3.56984E-06    1.34842E-03
        5.100    4.82664E-07    5.26170E-04    3.93596E-04    2.23492E-06    9.22483E-04
        5.427    1.44701E-07    3.44978E-04    2.98161E-04    1.42416E-06    6.44707E-04
        5.753    4.29879E-08    2.30095E-04    2.28346E-04    9.22724E-07    4.59407E-04
        6.080    1.26713E-08    1.55932E-04    1.76663E-04    6.07245E-07    3.33215E-04
        6.407    3.70982E-09    1.07249E-04    1.37975E-04    4.05524E-07    2.45632E-04
        6.733    1.07975E-09    7.47875E-05    1.08712E-04    2.74562E-07    1.83776E-04
        7.060    3.12644E-10    5.28260E-05    8.63643E-05    1.88309E-07    1.39379E-04
        7.387    9.01158E-11    3.77644E-05    6.91406E-05    1.30728E-07    1.07036E-04
        7.713    2.58705E-11    2.73024E-05    5.57528E-05    9.17948E-08    8.31470E-05
        8.040    7.40039E-12    1.99480E-05    4.52628E-05    6.51521E-08    6.52759E-05
        8.367    2.11017E-12    1.47198E-05    3.69810E-05    4.67119E-08    5.17475E-05
        8.693    5.99984E-13    1.09635E-05    3.03961E-05    3.38114E-08    4.13934E-05
        9.020    1.70154E-13    8.23790E-06    2.51249E-05    2.46945E-08    3.33875E-05
        9.347    4.81434E-14    6.24141E-06    2.08785E-05    1.81895E-08    2.71380E-05
        9.673    1.35931E-14    4.76597E-06    1.74369E-05    1.35058E-08    2.22164E-05
