          %pt            TT            TS            SS            SS2j            Tot
        0.100    3.02528E-02    5.72550E-05    1.16639E-03    4.77169E-03    3.62481E-02
        0.299    3.03380E-02    2.73311E-04    1.39807E-03    7.83292E-03    3.98423E-02
        0.498    2.99945E-02    1.00370E-03    2.32825E-03    1.23553E-02    4.56817E-02
        0.697    2.86135E-02    2.54521E-03    3.71403E-03    1.72337E-02    5.21064E-02
        0.896    2.59352E-02    5.18005E-03    5.41964E-03    2.22143E-02    5.87492E-02
        1.095    2.21861E-02    9.25102E-03    7.39022E-03    2.73405E-02    6.61679E-02
        1.294    1.79085E-02    1.51434E-02    9.60963E-03    3.27164E-02    7.53780E-02
        1.493    1.36876E-02    2.31346E-02    1.20390E-02    3.83619E-02    8.72230E-02
        1.692    9.95593E-03    3.31562E-02    1.45630E-02    4.41391E-02    1.01814E-01
        1.891    6.92965E-03    4.45617E-02    1.69622E-02    4.97424E-02    1.18196E-01
        2.090    4.63998E-03    5.60115E-02    1.89210E-02    5.47337E-02    1.34306E-01
        2.289    3.00333E-03    6.55685E-02    2.00721E-02    5.86093E-02    1.47253E-01
        2.488    1.88731E-03    7.10646E-02    2.00790E-02    6.08826E-02    1.53914E-01
        2.687    1.15575E-03    7.07369E-02    1.87518E-02    6.11698E-02    1.51814E-01
        2.886    6.91967E-04    6.40526E-02    1.61858E-02    5.92723E-02    1.40203E-01
        3.085    4.06180E-04    5.24945E-02    1.28960E-02    5.52427E-02    1.21039E-01
        3.284    2.34320E-04    3.95506E-02    9.81943E-03    4.43555E-02    9.39599E-02
        3.483    1.33125E-04    2.83668E-02    7.51330E-03    3.06226E-02    6.66358E-02
        3.682    7.46170E-05    1.99357E-02    5.80372E-03    2.14039E-02    4.72179E-02
        3.881    4.13250E-05    1.39597E-02    4.52333E-03    1.51361E-02    3.36604E-02
        4.080    2.26444E-05    9.82021E-03    3.55506E-03    1.08224E-02    2.42203E-02
        4.279    1.22907E-05    6.96500E-03    2.81614E-03    7.81921E-03    1.76126E-02
        4.478    6.61452E-06    4.98706E-03    2.24738E-03    5.70542E-03    1.29465E-02
        4.677    3.53264E-06    3.60583E-03    1.80603E-03    4.20209E-03    9.61748E-03
        4.876    1.87375E-06    2.63222E-03    1.46094E-03    3.12236E-03    7.21740E-03
        5.075    9.87697E-07    1.93928E-03    1.18915E-03    2.33959E-03    5.46901E-03
        5.274    5.17714E-07    1.44137E-03    9.73630E-04    1.76705E-03    4.18256E-03
        5.473    2.69982E-07    1.08029E-03    8.01618E-04    1.34474E-03    3.22692E-03
