          %pt            TT            TS            SS            SS2j            Tot
        0.100    2.37434E-01    2.16056E-04    8.23097E-04    1.09428E-03    2.39568E-01
        1.095    1.38766E-01    3.09062E-03    3.00111E-03    3.92378E-03    1.48782E-01
        2.090    2.35976E-02    1.77654E-02    7.42635E-03    6.58992E-03    5.53793E-02
        3.085    1.91781E-03    1.86177E-02    5.84375E-03    6.17077E-03    3.25501E-02
        4.080    1.08877E-04    4.75390E-03    2.07323E-03    1.72643E-03    8.66244E-03
        5.075    5.11438E-06    1.21582E-03    8.35677E-04    5.15209E-04    2.57182E-03
        6.070    2.15250E-07    3.63575E-04    3.74737E-04    1.76977E-04    9.15504E-04
        7.065    8.45764E-09    1.23847E-04    1.83071E-04    6.79611E-05    3.74888E-04
        8.060    3.17495E-10    4.69294E-05    9.59030E-05    2.85486E-05    1.71381E-04
        9.055    1.15460E-11    1.94234E-05    5.32199E-05    1.29046E-05    8.55479E-05
