          %pt            TT            TS            SS            SS2j            Tot
        0.100    2.37434E-01    3.68249E-05    2.36594E-04    8.76377E-05    2.37795E-01
        1.095    1.38766E-01    5.38243E-04    8.76086E-04    3.13016E-04    1.40493E-01
        2.090    2.35976E-02    3.10392E-03    2.17218E-03    5.27239E-04    2.94009E-02
        3.085    1.91781E-03    3.18106E-03    1.66217E-03    4.88010E-04    7.24905E-03
        4.080    1.08877E-04    7.61175E-04    5.54889E-04    1.25942E-04    1.55088E-03
        5.075    5.11438E-06    1.83553E-04    2.13830E-04    3.51749E-05    4.37671E-04
        6.070    2.15250E-07    5.24872E-05    9.26186E-05    1.14771E-05    1.56798E-04
        7.065    8.45764E-09    1.72641E-05    4.40089E-05    4.22875E-06    6.55101E-05
        8.060    3.17495E-10    6.35937E-06    2.25346E-05    1.71676E-06    3.06111E-05
        9.055    1.15460E-11    2.57105E-06    1.22687E-05    7.54049E-07    1.55938E-05
       10.050    4.10352E-13    1.12339E-06    7.02857E-06    3.53351E-07    8.50531E-06
       11.045    1.43367E-14    5.24135E-07    4.20184E-06    1.74715E-07    4.90069E-06
       12.040    4.94371E-16    2.58624E-07    2.60331E-06    9.03385E-08    2.95228E-06
       13.035    1.68738E-17    1.33903E-07    1.66175E-06    4.84809E-08    1.84413E-06
