          %pt            TT            TS            SS            SS2j            Tot
        0.100    3.99833E-01    3.34316E-05    2.36594E-04    8.76377E-05    4.00191E-01
        1.095    1.35519E-01    6.17729E-04    8.76086E-04    3.13016E-04    1.37326E-01
        2.090    1.23522E-02    3.49120E-03    2.17218E-03    5.27239E-04    1.85428E-02
        3.085    5.70179E-04    3.41344E-03    1.66217E-03    4.88010E-04    6.13380E-03
        4.080    1.88323E-05    7.73342E-04    5.54889E-04    1.25942E-04    1.47300E-03
        5.075    5.20594E-07    1.82849E-04    2.13830E-04    3.51749E-05    4.32374E-04
        6.070    1.29759E-08    5.16798E-05    9.26186E-05    1.14771E-05    1.55788E-04
        7.065    3.03111E-10    1.68586E-05    4.40089E-05    4.22875E-06    6.50965E-05
        8.060    6.78170E-12    6.17193E-06    2.25346E-05    1.71676E-06    3.04233E-05
        9.055    1.47242E-13    2.48345E-06    1.22687E-05    7.54049E-07    1.55062E-05
       10.050    3.12815E-15    1.08101E-06    7.02857E-06    3.53351E-07    8.46294E-06
       11.045    6.53893E-17    5.02797E-07    4.20184E-06    1.74715E-07    4.87935E-06
       12.040    1.35002E-18    2.47444E-07    2.60331E-06    9.03385E-08    2.94110E-06
       13.035    2.76034E-20    1.27822E-07    1.66175E-06    4.84809E-08    1.83805E-06
       14.030    5.60056E-22    6.88429E-08    1.08709E-06    2.68292E-08    1.18276E-06
