          %pt            TT            TS            SS            SS2j            Tot
        0.050    2.31559E-05    3.55000E-09    5.28832E-08    4.94722E-05    7.26845E-05
        0.250    2.29151E-05    6.19828E-08    5.62684E-07    6.46114E-04    6.69654E-04
        0.449    2.22875E-05    2.15397E-07    1.43902E-06    2.23568E-03    2.25962E-03
        0.649    2.11619E-05    4.99751E-07    2.61617E-06    5.15578E-03    5.18006E-03
        0.848    1.94689E-05    9.23168E-07    4.00424E-06    9.48001E-03    9.50441E-03
        1.048    1.72461E-05    1.46346E-06    5.52404E-06    1.51416E-02    1.51658E-02
        1.247    1.46492E-05    2.07845E-06    7.13662E-06    2.20449E-02    2.20688E-02
        1.447    1.19090E-05    2.71816E-06    8.84531E-06    3.01192E-02    3.01427E-02
        1.646    9.26476E-06    3.33367E-06    1.06601E-05    3.93162E-02    3.93394E-02
        1.846    6.90585E-06    3.88185E-06    1.25182E-05    4.95728E-02    4.95961E-02
        2.045    4.94204E-06    4.32710E-06    1.41683E-05    6.07623E-02    6.07857E-02
        2.245    3.40403E-06    4.64238E-06    1.50756E-05    7.26525E-02    7.26756E-02
        2.444    2.26289E-06    4.81025E-06    1.45130E-05    8.48840E-02    8.49056E-02
        2.644    1.45586E-06    4.82422E-06    1.21302E-05    9.69708E-02    9.69892E-02
        2.843    9.08953E-07    4.68944E-06    9.16913E-06    7.47594E-02    7.47741E-02
        3.043    5.52136E-07    4.42224E-06    6.96264E-06    5.02047E-02    5.02167E-02
        3.242    3.27101E-07    4.04818E-06    5.33817E-06    3.41602E-02    3.41699E-02
        3.442    1.89415E-07    3.59880E-06    4.12990E-06    2.35365E-02    2.35444E-02
        3.641    1.07431E-07    3.10776E-06    3.22243E-06    1.64113E-02    1.64178E-02
        3.841    5.97908E-08    2.60718E-06    2.53461E-06    1.15736E-02    1.15788E-02
        4.040    3.27085E-08    2.12462E-06    2.00872E-06    8.25018E-03    8.25435E-03
        4.240    1.76144E-08    1.68124E-06    1.60334E-06    5.94135E-03    5.94465E-03
        4.439    9.35086E-09    1.29104E-06    1.28842E-06    4.32021E-03    4.32280E-03
        4.639    4.89950E-09    9.61141E-07    1.04197E-06    3.17034E-03    3.17235E-03
        4.838    2.53661E-09    6.92751E-07    8.47773E-07    2.34686E-03    2.34840E-03
        5.038    1.29895E-09    4.82559E-07    6.93729E-07    1.75170E-03    1.75287E-03
        5.237    6.58510E-10    3.24208E-07    5.70772E-07    1.31778E-03    1.31868E-03
        5.437    3.30765E-10    2.09681E-07    4.72045E-07    9.98799E-04    9.99481E-04
        5.636    1.64735E-10    1.30435E-07    3.92321E-07    7.62440E-04    7.62963E-04
        5.836    8.14043E-11    7.82464E-08    3.27596E-07    5.85981E-04    5.86387E-04
        6.035    3.99366E-11    4.57192E-08    2.74777E-07    4.53289E-04    4.53610E-04
        6.235    1.94622E-11    2.65234E-08    2.31461E-07    3.52822E-04    3.53080E-04
        6.434    9.42603E-12    1.54053E-08    1.95772E-07    2.76253E-04    2.76464E-04
        6.634    4.53916E-12    8.95858E-09    1.66235E-07    2.17528E-04    2.17703E-04
        6.833    2.17426E-12    5.21625E-09    1.41683E-07    1.72218E-04    1.72365E-04
        7.033    1.03633E-12    3.04116E-09    1.21191E-07    1.37056E-04    1.37180E-04
        7.232    4.91683E-13    1.77538E-09    1.04019E-07    1.09618E-04    1.09724E-04
        7.432    2.32278E-13    1.03781E-09    8.95755E-08    8.80930E-05    8.81836E-05
        7.631    1.09293E-13    6.07476E-10    7.73817E-08    7.11208E-05    7.11988E-05
        7.831    5.12327E-14    3.56059E-10    6.70513E-08    5.76726E-05    5.77401E-05
        8.030    2.39321E-14    2.08976E-10    5.82699E-08    4.69665E-05    4.70250E-05
        8.230    1.11427E-14    1.22814E-10    5.07808E-08    3.84045E-05    3.84554E-05
        8.429    5.17204E-15    7.22737E-11    4.43741E-08    3.15273E-05    3.15717E-05
        8.629    2.39374E-15    4.25876E-11    3.88767E-08    2.59791E-05    2.60180E-05
        8.828    1.10487E-15    2.51278E-11    3.41459E-08    2.14853E-05    2.15194E-05
        9.028    5.08668E-16    1.48452E-11    3.00634E-08    1.78315E-05    1.78616E-05
        9.227    2.33620E-16    8.78160E-12    2.65309E-08    1.48495E-05    1.48760E-05
        9.427    1.07053E-16    5.20127E-12    2.34661E-08    1.24068E-05    1.24303E-05
        9.626    4.89501E-17    3.08450E-12    2.08005E-08    1.03989E-05    1.04197E-05
        9.826    2.23372E-17    1.83145E-12    1.84763E-08    8.74267E-06    8.76115E-06
       10.025    1.01735E-17    1.08875E-12    1.64451E-08    7.37209E-06    7.38853E-06
       10.225    4.62510E-18    6.48010E-13    1.46659E-08    6.23423E-06    6.24890E-06
       10.424    2.09906E-18    3.86139E-13    1.31038E-08    5.28667E-06    5.29977E-06
       10.624    9.51087E-19    2.30360E-13    1.17296E-08    4.49520E-06    4.50693E-06
       10.823    4.30271E-19    1.37582E-13    1.05180E-08    3.83221E-06    3.84273E-06
       11.023    1.94368E-19    8.22627E-14    9.44765E-09    3.27527E-06    3.28472E-06
       11.222    8.76794E-20    4.92402E-14    8.50025E-09    2.80614E-06    2.81464E-06
       11.422    3.94996E-20    2.95057E-14    7.66008E-09    2.40993E-06    2.41759E-06
       11.621    1.77720E-20    1.76992E-14    6.91361E-09    2.07444E-06    2.08135E-06
       11.821    7.98650E-21    1.06280E-14    6.24921E-09    1.78967E-06    1.79591E-06
       12.020    3.58489E-21    6.38845E-15    5.65684E-09    1.54735E-06    1.55300E-06
       12.220    1.60737E-21    3.84393E-15    5.12777E-09    1.34067E-06    1.34580E-06
       12.419    7.19948E-22    2.31518E-15    4.65449E-09    1.16399E-06    1.16865E-06
       12.619    3.22144E-22    1.39581E-15    4.23041E-09    1.01262E-06    1.01685E-06
       12.818    1.44006E-22    8.42310E-16    3.84984E-09    8.82648E-07    8.86498E-07
       13.018    6.43154E-23    5.08775E-16    3.50779E-09    7.70818E-07    7.74326E-07
       13.217    2.86990E-23    3.07593E-16    3.19992E-09    6.74390E-07    6.77590E-07
       13.417    1.27954E-23    1.86133E-16    2.92240E-09    5.91058E-07    5.93981E-07
