          %pt            TT            TS            SS            SS2j            Tot
        0.050    1.88037E-03    2.79669E-09    4.35662E-08    1.30139E-07    1.88054E-03
        0.449    1.71883E-03    4.06221E-07    2.65137E-06    1.25449E-05    1.73443E-03
        0.848    1.32556E-03    2.37721E-06    9.85013E-06    6.04307E-05    1.39822E-03
        1.247    8.35807E-04    5.97165E-06    2.02410E-05    1.44400E-04    1.00642E-03
        1.646    4.30448E-04    1.00669E-05    3.29805E-05    2.56260E-04    7.29755E-04
        2.045    1.85308E-04    1.33995E-05    4.67012E-05    3.89016E-04    6.34425E-04
        2.444    6.87892E-05    1.50980E-05    5.24815E-05    5.35663E-04    6.72032E-04
        2.843    2.26779E-05    1.48454E-05    4.16814E-05    5.49729E-04    6.28934E-04
        3.242    6.80525E-06    1.29137E-05    3.10555E-05    3.74871E-04    4.25646E-04
        3.641    1.89548E-06    1.00065E-05    2.32635E-05    2.58401E-04    2.93567E-04
        4.040    4.97505E-07    6.93079E-06    1.75417E-05    1.80180E-04    2.05150E-04
        4.439    1.24491E-07    4.29321E-06    1.33278E-05    1.27145E-04    1.44890E-04
        4.838    2.99675E-08    2.37174E-06    1.02092E-05    9.07997E-05    1.03411E-04
        5.237    6.98833E-09    1.16181E-06    7.88675E-06    6.56087E-05    7.46642E-05
        5.636    1.58740E-09    5.02837E-07    6.14447E-06    4.79456E-05    5.45944E-05
        6.035    3.52759E-10    1.96406E-07    4.82719E-06    3.54177E-05    4.04417E-05
        6.434    7.69569E-11    7.43870E-08    3.82319E-06    2.64321E-05    3.03298E-05
        6.833    1.65276E-11    2.80993E-08    3.05173E-06    1.99171E-05    2.29969E-05
        7.232    3.50228E-12    1.05962E-08    2.45420E-06    1.51444E-05    1.76092E-05
        7.631    7.33634E-13    3.99206E-09    1.98776E-06    1.16134E-05    1.36052E-05
        8.030    1.52147E-13    1.50351E-09    1.62089E-06    8.97673E-06    1.05991E-05
        8.429    3.12796E-14    5.66372E-10    1.33021E-06    6.99039E-06    8.32117E-06
        8.828    6.38172E-15    2.13480E-10    1.09830E-06    5.48150E-06    6.58001E-06
        9.227    1.29327E-15    8.05404E-11    9.12020E-07    4.32625E-06    5.23836E-06
        9.626    2.60526E-16    3.04215E-11    7.61437E-07    3.43521E-06    4.19668E-06
       10.025    5.22046E-17    1.15065E-11    6.38962E-07    2.74315E-06    3.38212E-06
       10.424    1.04114E-17    4.35874E-12    5.38766E-07    2.20208E-06    2.74085E-06
       10.823    2.06760E-18    1.65381E-12    4.56339E-07    1.77645E-06    2.23279E-06
       11.222    4.09038E-19    6.28569E-13    3.88169E-07    1.43965E-06    1.82782E-06
       11.621    8.06421E-20    2.39323E-13    3.31502E-07    1.17170E-06    1.50320E-06
       12.020    1.58491E-20    9.12838E-14    2.84170E-07    9.57400E-07    1.24157E-06
       12.419    3.10607E-21    3.48812E-14    2.44451E-07    7.85177E-07    1.02963E-06
       12.818    6.07149E-22    1.33530E-14    2.10974E-07    6.46132E-07    8.57106E-07
       13.217    1.18400E-22    5.12103E-15    1.82637E-07    5.33385E-07    7.16023E-07
       13.616    2.30393E-23    1.96752E-15    1.58555E-07    4.41590E-07    6.00145E-07
       14.015    4.47428E-24    7.57281E-16    1.38008E-07    3.66566E-07    5.04574E-07
       14.414    8.67325E-25    2.91985E-16    1.20413E-07    3.05026E-07    4.25439E-07
       14.813    1.67845E-25    1.12777E-16    1.05290E-07    2.54377E-07    3.59667E-07
       15.212    3.24307E-26    4.36336E-17    9.22487E-08    2.12558E-07    3.04807E-07
       15.611    6.25715E-27    1.69103E-17    8.09641E-08    1.77926E-07    2.58891E-07
       16.010    1.20563E-27    6.56440E-18    7.11687E-08    1.49167E-07    2.20336E-07
       16.409    2.32013E-28    2.55234E-18    6.26396E-08    1.25222E-07    1.87862E-07
