          %pt            TT            TS            SS            SS2j            Tot
        0.050    2.05199E-03    5.57910E-08    4.04194E-08    6.65742E-08    2.05215E-03
        0.449    1.82383E-03    5.32509E-06    1.48726E-06    3.97957E-06    1.83463E-03
        0.848    1.33738E-03    2.67383E-05    4.79627E-06    1.86141E-05    1.38753E-03
        1.247    8.07711E-04    6.03312E-05    9.26261E-06    4.48693E-05    9.22174E-04
        1.646    4.05900E-04    9.17585E-05    1.45552E-05    8.07628E-05    5.92977E-04
        2.045    1.73337E-04    1.10483E-04    2.01159E-05    1.24487E-04    4.28422E-04
        2.444    6.45302E-05    1.13196E-04    2.20124E-05    1.73953E-04    3.73692E-04
        2.843    2.14686E-05    1.01912E-04    1.65278E-05    1.74391E-04    3.14299E-04
        3.242    6.52175E-06    8.17846E-05    1.15818E-05    1.09063E-04    2.08951E-04
        3.641    1.84124E-06    5.88893E-05    8.21009E-06    6.92129E-05    1.38154E-04
