          %pt            TT            TS            SS            SS2j            Tot
        0.050    4.95361E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.250    4.70874E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.449    4.18637E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.649    3.48640E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        0.848    2.72586E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.048    2.00664E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.247    1.39547E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.447    9.20117E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.646    5.77411E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        1.846    3.46186E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.045    1.99042E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.245    1.10143E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.444    5.88607E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.644    3.04735E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        2.843    1.53292E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.043    7.51232E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.242    3.59536E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.442    1.68415E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.641    7.73650E-09    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        3.841    3.49151E-09    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.040    1.55053E-09    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.240    6.78533E-10    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.439    2.92986E-10    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.639    1.24971E-10    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        4.838    5.27128E-11    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.038    2.20075E-11    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.237    9.10206E-12    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.437    3.73211E-12    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.636    1.51815E-12    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        5.836    6.13035E-13    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.035    2.45875E-13    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.235    9.79992E-14    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.434    3.88338E-14    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.634    1.53059E-14    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        6.833    6.00253E-15    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.033    2.34310E-15    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.232    9.10676E-16    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.432    3.52519E-16    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.631    1.35944E-16    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        7.831    5.22404E-17    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.030    2.00086E-17    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.230    7.63978E-18    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.429    2.90859E-18    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.629    1.10433E-18    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        8.828    4.18213E-19    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.028    1.57996E-19    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.227    5.95532E-20    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.427    2.23991E-20    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.626    8.40760E-21    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
        9.826    3.14978E-21    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.025    1.17788E-21    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.225    4.39715E-22    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.424    1.63883E-22    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.624    6.09854E-23    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       10.823    2.26610E-23    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.023    8.40867E-24    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.222    3.11600E-24    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.422    1.15324E-24    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.621    4.26305E-25    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       11.821    1.57406E-25    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       12.020    5.80563E-26    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       12.220    2.13906E-26    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       12.419    7.87342E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       12.619    2.89528E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       12.818    1.06371E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       13.018    3.90459E-28    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       13.217    1.43208E-28    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       13.417    5.24820E-29    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       13.616    1.92186E-29    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       13.816    7.03255E-30    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       14.015    2.57157E-30    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       14.215    9.39702E-31    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       14.414    3.43162E-31    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       14.614    1.25238E-31    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       14.813    4.56787E-32    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       15.013    1.66510E-32    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       15.212    6.06630E-33    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       15.412    2.20890E-33    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       15.611    8.03901E-34    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       15.811    2.92425E-34    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       16.010    1.06320E-34    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       16.210    3.86384E-35    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       16.409    1.40355E-35    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       16.609    5.09622E-36    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       16.808    1.84964E-36    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       17.008    6.71048E-37    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       17.207    2.43361E-37    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       17.407    8.82235E-38    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       17.606    3.19713E-38    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       17.806    1.15820E-38    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       18.005    4.19429E-39    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       18.205    1.51841E-39    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       18.404    5.49520E-40    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       18.604    1.98812E-40    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       18.803    7.19071E-41    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       19.003    2.60001E-41    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       19.202    9.39842E-42    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       19.402    3.39638E-42    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       19.601    1.22705E-42    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
       19.801    4.43198E-43    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
