          %pt            TT            TS            SS            SS2j            Tot
        0.100    2.15825E-03    1.25725E-06    5.02122E-07    6.74976E-06    2.16676E-03
        0.298    2.03079E-03    1.29152E-05    2.74313E-06    6.54391E-05    2.11189E-03
        0.496    1.79997E-03    4.63223E-05    6.38599E-06    2.25668E-04    2.07834E-03
        0.694    1.50509E-03    1.07641E-04    1.10902E-05    5.07824E-04    2.13164E-03
        0.892    1.18985E-03    1.95313E-04    1.65399E-05    9.12799E-04    2.31450E-03
        1.090    8.91703E-04    3.02889E-04    2.26517E-05    1.43799E-03    2.65523E-03
        1.288    6.35430E-04    4.21371E-04    2.94583E-05    2.08328E-03    3.16954E-03
        1.486    4.31980E-04    5.39769E-04    3.64815E-05    2.84767E-03    3.85590E-03
        1.684    2.81116E-04    6.45256E-04    4.16853E-05    3.72103E-03    4.68908E-03
        1.882    1.75715E-04    7.24467E-04    4.13556E-05    4.67599E-03    5.61753E-03
        2.080    1.05847E-04    7.66154E-04    3.47817E-05    3.64206E-03    4.54884E-03
        2.278    6.16420E-05    7.64118E-04    2.85552E-05    1.52574E-03    2.38006E-03
        2.476    3.48097E-05    7.19009E-04    2.35968E-05    6.72892E-04    1.45031E-03
        2.674    1.91142E-05    6.38218E-04    1.95917E-05    3.09970E-04    9.86894E-04
        2.872    1.02320E-05    5.33966E-04    1.63279E-05    1.48282E-04    7.08808E-04
        3.070    5.35221E-06    4.20405E-04    1.36530E-05    7.33412E-05    5.12752E-04
        3.268    2.74153E-06    3.10707E-04    1.14517E-05    3.73776E-05    3.62278E-04
        3.466    1.37778E-06    2.14908E-04    9.63429E-06    1.95736E-05    2.45493E-04
        3.664    6.80534E-07    1.38844E-04    8.12955E-06    1.05082E-05    1.58163E-04
        3.862    3.30888E-07    8.41389E-05    6.88027E-06    5.77203E-06    9.71221E-05
        4.060    1.58593E-07    4.88578E-05    5.84031E-06    3.23842E-06    5.80952E-05
        4.258    7.50260E-08    2.81451E-05    4.97226E-06    1.85309E-06    3.50455E-05
        4.456    3.50716E-08    1.62002E-05    4.24572E-06    1.08005E-06    2.15610E-05
        4.654    1.62166E-08    9.31657E-06    3.63594E-06    6.40410E-07    1.36091E-05
        4.852    7.42380E-09    5.35327E-06    3.12273E-06    3.85904E-07    8.86933E-06
        5.050    3.36754E-09    3.07353E-06    2.68960E-06    2.36095E-07    6.00259E-06
        5.248    1.51476E-09    1.76340E-06    2.32301E-06    1.46521E-07    4.23445E-06
        5.446    6.76098E-10    1.01115E-06    2.01188E-06    9.21659E-08    3.11587E-06
        5.644    2.99625E-10    5.79531E-07    1.74710E-06    5.87188E-08    2.38565E-06
        5.842    1.31913E-10    3.32043E-07    1.52114E-06    3.78640E-08    1.89118E-06
        6.040    5.77237E-11    1.90204E-07    1.32778E-06    2.46971E-08    1.54274E-06
        6.238    2.51174E-11    1.08943E-07    1.16190E-06    1.62850E-08    1.28715E-06
        6.436    1.08725E-11    6.23995E-08    1.01920E-06    1.08497E-08    1.09246E-06
        6.634    4.68357E-12    3.57443E-08    8.96134E-07    7.29999E-09    9.39183E-07
        6.832    2.00849E-12    2.04792E-08    7.89738E-07    4.95791E-09    8.15177E-07
        7.030    8.57709E-13    1.17364E-08    6.97527E-07    3.39751E-09    7.12661E-07
        7.228    3.64849E-13    6.72819E-09    6.17417E-07    2.34819E-09    6.26494E-07
        7.426    1.54633E-13    3.85863E-09    5.47658E-07    1.63627E-09    5.53153E-07
        7.624    6.53148E-14    2.21392E-09    4.86773E-07    1.14913E-09    4.90137E-07
        7.822    2.75002E-14    1.27088E-09    4.33516E-07    8.13090E-10    4.35600E-07
        8.020    1.15441E-14    7.29922E-10    3.86830E-07    5.79461E-10    3.88139E-07
        8.218    4.83249E-15    4.19463E-10    3.45816E-07    4.15816E-10    3.46651E-07
        8.416    2.01761E-15    2.41196E-10    3.09712E-07    3.00365E-10    3.10254E-07
        8.614    8.40292E-16    1.38776E-10    2.77866E-07    2.18352E-10    2.78223E-07
        8.812    3.49150E-16    7.98981E-11    2.49721E-07    1.59705E-10    2.49961E-07
        9.010    1.44758E-16    4.60302E-11    2.24799E-07    1.17499E-10    2.24963E-07
        9.208    5.98929E-17    2.65362E-11    2.02690E-07    8.69379E-11    2.02804E-07
        9.406    2.47321E-17    1.53085E-11    1.83041E-07    6.46774E-11    1.83121E-07
        9.604    1.01940E-17    8.83734E-12    1.65548E-07    4.83705E-11    1.65605E-07
        9.802    4.19444E-18    5.10520E-12    1.49947E-07    3.63591E-11    1.49989E-07
