          %pt            TT            TS            SS            SS2j            Tot
        0.100    2.15825E-03    1.25098E-08    4.99620E-09    6.68266E-10    2.15827E-03
        0.430    1.88617E-03    5.43821E-06    8.49892E-07    4.53469E-06    1.89699E-03
        0.760    1.40021E-03    5.88748E-05    5.63079E-06    1.21151E-04    1.58586E-03
        1.090    8.91703E-04    2.10568E-04    1.57475E-05    6.94983E-04    1.81300E-03
        1.420    4.93757E-04    4.34364E-04    2.96457E-05    1.93874E-03    2.89651E-03
        1.750    2.41397E-04    6.43629E-04    4.03931E-05    3.66388E-03    4.58930E-03
        2.080    1.05847E-04    7.56030E-04    3.43220E-05    3.54644E-03    4.44264E-03
        2.410    4.22508E-05    7.36281E-04    2.50554E-05    8.74172E-04    1.67776E-03
        2.740    1.55621E-05    6.05053E-04    1.84197E-05    2.41202E-04    8.80237E-04
        3.070    5.35221E-06    4.20371E-04    1.36519E-05    7.33294E-05    5.12705E-04
        3.400    1.73643E-06    2.44843E-04    1.02021E-05    2.42139E-05    2.80996E-04
        3.730    5.36029E-07    1.18267E-04    7.68721E-06    8.58475E-06    1.35075E-04
        4.060    1.58593E-07    4.88578E-05    5.84031E-06    3.23842E-06    5.80952E-05
        4.390    4.52469E-08    1.94770E-05    4.47381E-06    1.29045E-06    2.52865E-05
        4.720    1.25116E-08    7.74612E-06    3.45503E-06    5.39977E-07    1.17536E-05
        5.050    3.36754E-09    3.07353E-06    2.68960E-06    2.36095E-07    6.00259E-06
        5.380    8.85409E-10    1.21717E-06    2.11003E-06    1.07411E-07    3.43550E-06
        5.710    2.28098E-10    4.81352E-07    1.66780E-06    5.06630E-08    2.20004E-06
        6.040    5.77237E-11    1.90204E-07    1.32778E-06    2.46971E-08    1.54274E-06
        6.370    1.43809E-11    7.51365E-08    1.06442E-06    1.24086E-08    1.15198E-06
        6.700    3.53360E-12    2.96869E-08    8.58948E-07    6.41020E-09    8.95049E-07
        7.030    8.57709E-13    1.17364E-08    6.97527E-07    3.39751E-09    7.12661E-07
        7.360    2.05941E-13    4.64409E-09    5.69857E-07    1.84401E-09    5.76345E-07
        7.690    4.89706E-14    1.83986E-09    4.68229E-07    1.02315E-09    4.71092E-07
        8.020    1.15441E-14    7.29922E-10    3.86830E-07    5.79461E-10    3.88139E-07
        8.350    2.70025E-15    2.90034E-10    3.21244E-07    3.34519E-10    3.21868E-07
        8.680    6.27191E-16    1.15440E-10    2.68098E-07    1.96602E-10    2.68411E-07
        9.010    1.44758E-16    4.60302E-11    2.24799E-07    1.17499E-10    2.24963E-07
        9.340    3.32193E-17    1.83880E-11    1.89337E-07    7.13368E-11    1.89427E-07
        9.670    7.58352E-18    7.35956E-12    1.60149E-07    4.39559E-11    1.60201E-07
