          %pt            TT            TS            SS            SS2j            Tot
        0.200    2.07598E-03    8.35552E-07    1.21061E-06    2.88964E-05    2.10693E-03
        0.527    1.80212E-03    9.12956E-06    6.32868E-06    2.50704E-04    2.06828E-03
        0.853    1.37354E-03    3.06993E-05    1.43243E-05    7.81753E-04    2.20032E-03
        1.180    9.18720E-04    6.14953E-05    2.43829E-05    1.63643E-03    2.64103E-03
        1.507    5.42082E-04    9.22515E-05    3.58818E-05    2.40403E-03    3.07424E-03
        1.833    2.85156E-04    1.15270E-04    4.10056E-05    2.33778E-03    2.77921E-03
        2.160    1.35563E-04    1.26714E-04    3.13781E-05    1.37021E-03    1.66386E-03
        2.487    5.90803E-05    1.26072E-04    2.29473E-05    7.25034E-04    9.33133E-04
        2.813    2.39221E-05    1.15175E-04    1.69787E-05    4.04812E-04    5.60888E-04
        3.140    9.10630E-06    9.73325E-05    1.26700E-05    2.36241E-04    3.55350E-04
        3.467    3.29175E-06    7.63872E-05    9.52847E-06    1.42832E-04    2.32040E-04
        3.793    1.13943E-06    5.57841E-05    7.22138E-06    8.88395E-05    1.52984E-04
        4.120    3.80289E-07    3.79259E-05    5.51578E-06    5.65533E-05    1.00375E-04
        4.447    1.23074E-07    2.39779E-05    4.24619E-06    3.67129E-05    6.50600E-05
        4.773    3.88030E-08    1.40560E-05    3.29439E-06    2.42437E-05    4.16329E-05
        5.100    1.19638E-08    7.60440E-06    2.57560E-06    1.62562E-05    2.64481E-05
        5.427    3.61865E-09    3.77846E-06    2.02874E-06    1.10533E-05    1.68641E-05
        5.753    1.07657E-09    1.72704E-06    1.60958E-06    7.61296E-06    1.09507E-05
        6.080    3.15717E-10    7.46004E-07    1.28595E-06    5.30666E-06    7.33893E-06
        6.407    9.14355E-11    3.19672E-07    1.03429E-06    3.74078E-06    5.09484E-06
        6.733    2.61916E-11    1.37176E-07    8.37225E-07    2.66491E-06    3.63933E-06
        7.060    7.43033E-12    5.89598E-08    6.81866E-07    1.91740E-06    2.65823E-06
        7.387    2.08995E-12    2.53875E-08    5.58589E-07    1.39254E-06    1.97651E-06
        7.713    5.83396E-13    1.09530E-08    4.60155E-07    1.02032E-06    1.49143E-06
        8.040    1.61750E-13    4.73529E-09    3.81084E-07    7.53856E-07    1.13968E-06
        8.367    4.45745E-14    2.05160E-09    3.17199E-07    5.61387E-07    8.80638E-07
        8.693    1.22169E-14    8.90838E-10    2.65298E-07    4.21181E-07    6.87370E-07
        9.020    3.33193E-15    3.87685E-10    2.22909E-07    3.18222E-07    5.41518E-07
        9.347    9.04690E-16    1.69099E-10    1.88111E-07    2.42034E-07    4.30315E-07
        9.673    2.44653E-16    7.39243E-11    1.59407E-07    1.85246E-07    3.44727E-07
