          %pt            TT            TS            SS            SS2j            Tot
        0.200    2.07598E-03    1.13793E-06    1.11021E-06    1.68307E-08    2.07825E-03
        0.527    1.80212E-03    1.11263E-05    5.21514E-06    1.43237E-07    1.81860E-03
        0.853    1.37354E-03    3.59431E-05    1.11687E-05    4.54196E-07    1.42110E-03
        1.180    9.18720E-04    7.09113E-05    1.83058E-05    9.51924E-07    1.00889E-03
        1.507    5.42082E-04    1.06018E-04    2.62284E-05    1.60723E-06    6.75935E-04
        1.833    2.85155E-04    1.32851E-04    2.98803E-05    2.39226E-06    4.50279E-04
        2.160    1.35563E-04    1.46706E-04    2.33289E-05    3.28612E-06    3.08884E-04
        2.487    5.90803E-05    1.46298E-04    1.72417E-05    4.26459E-06    2.26885E-04
        2.813    2.39221E-05    1.33282E-04    1.28216E-05    5.28792E-06    1.75314E-04
        3.140    9.10629E-06    1.11553E-04    9.58691E-06    6.29470E-06    1.36541E-04
        3.467    3.29175E-06    8.60110E-05    7.20664E-06    7.20405E-06    1.03713E-04
        3.793    1.13943E-06    6.11449E-05    5.44654E-06    7.92439E-06    7.56552E-05
        4.120    3.80288E-07    4.00374E-05    4.13873E-06    8.36590E-06    5.29223E-05
        4.447    1.23074E-07    2.40719E-05    3.16215E-06    8.45481E-06    3.58119E-05
        4.773    3.88029E-08    1.32200E-05    2.42918E-06    8.14826E-06    2.38363E-05
        5.100    1.19637E-08    6.59748E-06    1.87617E-06    7.44920E-06    1.59348E-05
        5.427    3.61865E-09    3.00432E-06    1.45672E-06    6.41852E-06    1.08832E-05
        5.753    1.07656E-09    1.29716E-06    1.13689E-06    5.17886E-06    7.61398E-06
        6.080    3.15717E-10    5.57369E-07    8.91735E-07    3.85876E-06    5.30818E-06
        6.407    9.14354E-11    2.39546E-07    7.02853E-07    2.72808E-06    3.67057E-06
        6.733    2.61916E-11    1.03010E-07    5.56588E-07    1.94730E-06    2.60693E-06
        7.060    7.43031E-12    4.43337E-08    4.42763E-07    1.40266E-06    1.88976E-06
        7.387    2.08995E-12    1.91005E-08    3.53757E-07    1.01906E-06    1.39192E-06
        7.713    5.83395E-13    8.23919E-09    2.83835E-07    7.46423E-07    1.03850E-06
        8.040    1.61749E-13    3.55883E-09    2.28656E-07    5.50960E-07    7.83175E-07
        8.367    4.45744E-14    1.53941E-09    1.84922E-07    4.09669E-07    5.96131E-07
        8.693    1.22168E-14    6.66892E-10    1.50113E-07    3.06737E-07    4.57516E-07
        9.020    3.33192E-15    2.89356E-10    1.22294E-07    2.31189E-07    3.53772E-07
        9.347    9.04688E-16    1.25748E-10    9.99756E-08    1.75346E-07    2.75447E-07
        9.673    2.44652E-16    5.47349E-11    8.20015E-08    1.33790E-07    2.15846E-07
