          %pt            Sj
        0.030    4.49501E-01
        0.060    4.19011E-01
        0.090    3.97626E-01
        0.120    3.81263E-01
        0.150    3.67725E-01
        0.180    3.55826E-01
        0.210    3.45004E-01
        0.240    3.35357E-01
        0.270    3.25887E-01
        0.300    3.17737E-01
        0.330    3.09614E-01
        0.360    3.02372E-01
        0.390    2.95357E-01
        0.420    2.88645E-01
        0.450    2.82014E-01
        0.480    2.75930E-01
        0.510    2.69834E-01
        0.540    2.64189E-01
        0.570    2.58636E-01
        0.600    2.52901E-01
        0.630    2.47980E-01
        0.660    2.42735E-01
        0.690    2.37916E-01
        0.720    2.32825E-01
        0.750    2.28203E-01
        0.780    2.23516E-01
        0.810    2.18948E-01
        0.840    2.14432E-01
        0.870    2.10193E-01
        0.900    2.05611E-01
        0.930    2.01948E-01
        0.960    1.97655E-01
        0.990    1.93720E-01
        1.020    1.89608E-01
        1.050    1.85709E-01
        1.080    1.82124E-01
        1.110    1.78205E-01
        1.140    1.74726E-01
        1.170    1.71012E-01
        1.200    1.67639E-01
        1.230    1.64304E-01
        1.260    1.60737E-01
        1.290    1.57593E-01
        1.320    1.54241E-01
        1.350    1.51104E-01
        1.380    1.47758E-01
        1.410    1.44969E-01
        1.440    1.41986E-01
        1.470    1.38970E-01
        1.500    1.36122E-01
        1.530    1.33350E-01
        1.560    1.30489E-01
        1.590    1.27775E-01
        1.620    1.24920E-01
        1.650    1.22586E-01
        1.680    1.19912E-01
        1.710    1.17439E-01
        1.740    1.15014E-01
        1.770    1.12597E-01
        1.800    1.10356E-01
        1.830    1.08086E-01
        1.860    1.05886E-01
        1.890    1.03616E-01
        1.920    1.01516E-01
        1.950    9.93795E-02
        1.980    9.74239E-02
        2.010    9.54311E-02
        2.040    9.35187E-02
        2.070    9.15833E-02
        2.100    8.97184E-02
        2.130    8.78727E-02
        2.160    8.61089E-02
        2.190    8.43428E-02
        2.220    8.26696E-02
        2.250    8.10328E-02
        2.280    7.93034E-02
        2.310    7.78115E-02
        2.340    7.62434E-02
        2.370    7.47169E-02
        2.400    7.33175E-02
        2.430    7.18396E-02
        2.460    7.04316E-02
        2.490    6.90979E-02
        2.520    6.77645E-02
        2.550    6.65021E-02
        2.580    6.51712E-02
        2.610    6.39372E-02
        2.640    6.27348E-02
        2.670    6.15425E-02
        2.700    6.03879E-02
        2.730    5.92760E-02
        2.760    5.81098E-02
        2.790    5.70563E-02
        2.820    5.60032E-02
        2.850    5.49662E-02
        2.880    5.39904E-02
        2.910    5.30194E-02
        2.940    5.20588E-02
        2.970    5.11227E-02
        3.000    5.02018E-02
        3.030    4.92883E-02
        3.060    4.84020E-02
        3.090    4.74933E-02
        3.120    4.67635E-02
        3.150    4.58851E-02
        3.180    4.51490E-02
        3.210    4.43726E-02
        3.240    4.35907E-02
        3.270    4.28423E-02
        3.300    4.21086E-02
        3.330    4.13756E-02
        3.360    4.06899E-02
        3.390    4.00238E-02
        3.420    3.93461E-02
        3.450    3.86853E-02
        3.480    3.80703E-02
        3.510    3.74643E-02
        3.540    3.68162E-02
        3.570    3.62434E-02
        3.600    3.56524E-02
        3.630    3.51019E-02
        3.660    3.45507E-02
        3.690    3.40075E-02
        3.720    3.34623E-02
        3.750    3.29460E-02
        3.780    3.23790E-02
        3.810    3.19325E-02
        3.840    3.14161E-02
        3.870    3.09642E-02
        3.900    3.04901E-02
        3.930    3.00387E-02
        3.960    2.95867E-02
        3.990    2.91416E-02
        4.020    2.87376E-02
        4.050    2.83032E-02
        4.080    2.78578E-02
        4.110    2.74694E-02
        4.140    2.70541E-02
        4.170    2.66951E-02
        4.200    2.63088E-02
        4.230    2.59175E-02
        4.260    2.55780E-02
        4.290    2.51995E-02
        4.320    2.48670E-02
        4.350    2.45108E-02
        4.380    2.41776E-02
        4.410    2.38179E-02
        4.440    2.35000E-02
        4.470    2.32049E-02
        4.500    2.28791E-02
        4.530    2.25245E-02
        4.560    2.22589E-02
        4.590    2.19776E-02
        4.620    2.16864E-02
        4.650    2.14021E-02
        4.680    2.11091E-02
        4.710    2.08486E-02
        4.740    2.06011E-02
        4.770    2.03269E-02
        4.800    2.00973E-02
        4.830    1.98182E-02
        4.860    1.95674E-02
        4.890    1.93208E-02
        4.920    1.90850E-02
        4.950    1.88447E-02
        4.980    1.86118E-02
        5.010    1.83694E-02
        5.040    1.81627E-02
        5.070    1.79340E-02
        5.100    1.77466E-02
        5.130    1.75201E-02
        5.160    1.73314E-02
        5.190    1.71222E-02
        5.220    1.69298E-02
        5.250    1.67288E-02
        5.280    1.65045E-02
        5.310    1.63249E-02
        5.340    1.61477E-02
        5.370    1.59354E-02
        5.400    1.57945E-02
        5.430    1.56003E-02
        5.460    1.54348E-02
        5.490    1.52742E-02
        5.520    1.51017E-02
        5.550    1.49343E-02
        5.580    1.47768E-02
        5.610    1.45972E-02
        5.640    1.44490E-02
        5.670    1.42886E-02
        5.700    1.41384E-02
        5.730    1.39912E-02
        5.760    1.38091E-02
        5.790    1.36749E-02
        5.820    1.35626E-02
        5.850    1.34222E-02
        5.880    1.32753E-02
        5.910    1.31488E-02
        5.940    1.30075E-02
        5.970    1.28663E-02
        6.000    1.27481E-02
        6.030    1.26172E-02
        6.060    1.24858E-02
        6.090    1.23738E-02
        6.120    1.22449E-02
        6.150    1.21178E-02
        6.180    1.20152E-02
        6.210    1.18874E-02
        6.240    1.17713E-02
        6.270    1.16610E-02
        6.300    1.15382E-02
        6.330    1.14333E-02
        6.360    1.13144E-02
        6.390    1.12255E-02
        6.420    1.11064E-02
        6.450    1.09878E-02
        6.480    1.09110E-02
        6.510    1.07947E-02
        6.540    1.06978E-02
        6.570    1.05868E-02
        6.600    1.05176E-02
        6.630    1.04041E-02
        6.660    1.03286E-02
        6.690    1.02180E-02
        6.720    1.01420E-02
        6.750    1.00500E-02
        6.780    9.95294E-03
        6.810    9.87518E-03
        6.840    9.79390E-03
        6.870    9.70673E-03
        6.900    9.60262E-03
        6.930    9.53079E-03
        6.960    9.40822E-03
        6.990    9.37637E-03
        7.020    9.29570E-03
        7.050    9.20313E-03
        7.080    9.14279E-03
        7.110    9.06439E-03
        7.140    8.98996E-03
        7.170    8.91544E-03
        7.200    8.82495E-03
        7.230    8.74770E-03
        7.260    8.69156E-03
        7.290    8.59352E-03
        7.320    8.55449E-03
        7.350    8.48297E-03
        7.380    8.41961E-03
        7.410    8.32967E-03
        7.440    8.26843E-03
        7.470    8.21451E-03
        7.500    8.14413E-03
        7.530    8.08436E-03
        7.560    8.01973E-03
        7.590    7.96527E-03
        7.620    7.89768E-03
        7.650    7.83444E-03
        7.680    7.77243E-03
        7.710    7.69422E-03
        7.740    7.65243E-03
        7.770    7.59090E-03
        7.800    7.53705E-03
        7.830    7.48429E-03
        7.860    7.42775E-03
        7.890    7.37469E-03
        7.920    7.32529E-03
        7.950    7.26576E-03
        7.980    7.21082E-03
        8.010    7.15756E-03
        8.040    7.09568E-03
        8.070    7.02468E-03
        8.100    7.00053E-03
        8.130    6.93630E-03
        8.160    6.89189E-03
        8.190    6.85440E-03
        8.220    6.80105E-03
        8.250    6.75421E-03
        8.280    6.70595E-03
        8.310    6.65594E-03
        8.340    6.60363E-03
        8.370    6.56467E-03
        8.400    6.51014E-03
        8.430    6.46971E-03
        8.460    6.42593E-03
        8.490    6.38355E-03
        8.520    6.34010E-03
        8.550    6.30102E-03
        8.580    6.23480E-03
        8.610    6.21058E-03
        8.640    6.17468E-03
        8.670    6.12960E-03
        8.700    6.07779E-03
        8.730    6.04781E-03
        8.760    6.00716E-03
        8.790    5.96469E-03
        8.820    5.92900E-03
        8.850    5.88885E-03
        8.880    5.84994E-03
        8.910    5.81006E-03
        8.940    5.77133E-03
        8.970    5.73557E-03
        9.000    5.70000E-03
        9.030    5.65955E-03
        9.060    5.60856E-03
        9.090    5.58821E-03
        9.120    5.54996E-03
        9.150    5.51971E-03
        9.180    5.47896E-03
        9.210    5.44722E-03
        9.240    5.41296E-03
        9.270    5.35802E-03
        9.300    5.34662E-03
        9.330    5.31091E-03
        9.360    5.28149E-03
        9.390    5.25151E-03
        9.420    5.20839E-03
        9.450    5.18027E-03
        9.480    5.15122E-03
        9.510    5.12072E-03
        9.540    5.09265E-03
        9.570    5.05349E-03
        9.600    5.02676E-03
        9.630    4.99854E-03
        9.660    4.97029E-03
        9.690    4.92208E-03
        9.720    4.90937E-03
        9.750    4.87462E-03
        9.780    4.85025E-03
        9.810    4.82005E-03
        9.840    4.79457E-03
        9.870    4.76140E-03
        9.900    4.73687E-03
        9.930    4.71290E-03
        9.960    4.67229E-03
        9.990    4.65500E-03
       10.020    4.62672E-03
       10.050    4.59890E-03
       10.080    4.57316E-03
       10.110    4.54500E-03
       10.140    4.51895E-03
       10.170    4.49536E-03
       10.200    4.46686E-03
       10.230    4.44630E-03
       10.260    4.42269E-03
       10.290    4.39472E-03
       10.320    4.37148E-03
       10.350    4.34696E-03
       10.380    4.32015E-03
       10.410    4.28783E-03
       10.440    4.26983E-03
       10.470    4.24996E-03
       10.500    4.22664E-03
       10.530    4.19815E-03
       10.560    4.16022E-03
       10.590    4.15469E-03
       10.620    4.13552E-03
       10.650    4.10947E-03
       10.680    4.08983E-03
       10.710    4.06907E-03
       10.740    4.04470E-03
       10.770    4.02165E-03
       10.800    4.00169E-03
       10.830    3.97928E-03
       10.860    3.95913E-03
       10.890    3.93897E-03
       10.920    3.91575E-03
       10.950    3.89757E-03
       10.980    3.87320E-03
       11.010    3.85620E-03
       11.040    3.83221E-03
       11.070    3.81824E-03
       11.100    3.78636E-03
       11.130    3.77264E-03
       11.160    3.75548E-03
       11.190    3.73468E-03
       11.220    3.71754E-03
       11.250    3.69595E-03
       11.280    3.67897E-03
       11.310    3.65390E-03
       11.340    3.64316E-03
       11.370    3.62131E-03
       11.400    3.59853E-03
       11.430    3.58340E-03
       11.460    3.56704E-03
       11.490    3.54780E-03
       11.520    3.52865E-03
       11.550    3.50678E-03
       11.580    3.49520E-03
       11.610    3.47515E-03
       11.640    3.45707E-03
       11.670    3.43729E-03
       11.700    3.41640E-03
       11.730    3.40690E-03
       11.760    3.39196E-03
       11.790    3.37392E-03
       11.820    3.35599E-03
       11.850    3.33827E-03
       11.880    3.31907E-03
       11.910    3.30408E-03
       11.940    3.28869E-03
       11.970    3.27470E-03
       12.000    3.25294E-03
       12.030    3.23877E-03
       12.060    3.22452E-03
       12.090    3.21228E-03
       12.120    3.19239E-03
       12.150    3.17714E-03
       12.180    3.15663E-03
       12.210    3.14613E-03
       12.240    3.12978E-03
       12.270    3.11612E-03
       12.300    3.10352E-03
