          %pt            Sj
        0.030    1.63004E+02
        0.060    1.39326E+02
        0.090    1.22524E+02
        0.120    1.09054E+02
        0.150    9.77932E+01
        0.180    8.81515E+01
        0.210    7.97725E+01
        0.240    7.23690E+01
        0.270    6.59120E+01
        0.300    6.00970E+01
        0.330    5.49751E+01
        0.360    5.03685E+01
        0.390    4.62725E+01
        0.420    4.25042E+01
        0.450    3.91763E+01
        0.480    3.61231E+01
        0.510    3.34257E+01
        0.540    3.09285E+01
        0.570    2.86602E+01
        0.600    2.66091E+01
        0.630    2.47416E+01
        0.660    2.30283E+01
        0.690    2.14488E+01
        0.720    2.00196E+01
        0.750    1.87118E+01
        0.780    1.75101E+01
        0.810    1.63676E+01
        0.840    1.53427E+01
        0.870    1.43891E+01
        0.900    1.35220E+01
        0.930    1.27195E+01
        0.960    1.19699E+01
        0.990    1.12706E+01
        1.020    1.06347E+01
        1.050    1.00369E+01
        1.080    9.47074E+00
        1.110    8.95239E+00
        1.140    8.46217E+00
        1.170    8.02645E+00
        1.200    7.60253E+00
        1.230    7.20731E+00
        1.260    6.84543E+00
        1.290    6.50252E+00
        1.320    6.17822E+00
        1.350    5.87566E+00
        1.380    5.59021E+00
        1.410    5.32446E+00
        1.440    5.07546E+00
        1.470    4.84436E+00
        1.500    4.62108E+00
        1.530    4.41502E+00
        1.560    4.21076E+00
        1.590    4.02701E+00
        1.620    3.85170E+00
        1.650    3.68873E+00
        1.680    3.52892E+00
        1.710    3.38440E+00
        1.740    3.24437E+00
        1.770    3.10930E+00
        1.800    2.98323E+00
        1.830    2.86446E+00
        1.860    2.75156E+00
        1.890    2.64490E+00
        1.920    2.54275E+00
        1.950    2.44454E+00
        1.980    2.35223E+00
        2.010    2.26607E+00
        2.040    2.18126E+00
        2.070    2.10327E+00
        2.100    2.02881E+00
        2.130    1.95711E+00
        2.160    1.88694E+00
        2.190    1.82007E+00
        2.220    1.76028E+00
        2.250    1.69752E+00
        2.280    1.64138E+00
        2.310    1.58762E+00
        2.340    1.53467E+00
        2.370    1.48356E+00
        2.400    1.43708E+00
        2.430    1.39030E+00
        2.460    1.34735E+00
        2.490    1.30331E+00
        2.520    1.26473E+00
        2.550    1.22503E+00
        2.580    1.18939E+00
        2.610    1.15357E+00
        2.640    1.11931E+00
        2.670    1.08568E+00
        2.700    1.05412E+00
        2.730    1.02363E+00
        2.760    9.95653E-01
        2.790    9.66036E-01
        2.820    9.39428E-01
        2.850    9.12247E-01
        2.880    8.88919E-01
        2.910    8.64480E-01
        2.940    8.41751E-01
        2.970    8.19913E-01
        3.000    7.97745E-01
        3.030    7.76684E-01
        3.060    7.55820E-01
        3.090    7.37357E-01
        3.120    7.18418E-01
        3.150    7.00258E-01
        3.180    6.82667E-01
        3.210    6.66259E-01
        3.240    6.49246E-01
        3.270    6.34162E-01
        3.300    6.18985E-01
        3.330    6.04235E-01
        3.360    5.90457E-01
        3.390    5.75983E-01
        3.420    5.62815E-01
        3.450    5.51028E-01
        3.480    5.38170E-01
        3.510    5.25722E-01
        3.540    5.14310E-01
        3.570    5.02753E-01
        3.600    4.92269E-01
        3.630    4.80967E-01
        3.660    4.70692E-01
        3.690    4.60881E-01
        3.720    4.51031E-01
        3.750    4.41894E-01
        3.780    4.32978E-01
        3.810    4.23919E-01
        3.840    4.14929E-01
        3.870    4.06496E-01
        3.900    3.98634E-01
        3.930    3.90578E-01
        3.960    3.82916E-01
