          %pt            Sj
        0.030    4.74505E+01
        0.060    4.05103E+01
        0.090    3.52948E+01
        0.120    3.10123E+01
        0.150    2.74719E+01
        0.180    2.44276E+01
        0.210    2.18182E+01
        0.240    1.95599E+01
        0.270    1.75860E+01
        0.300    1.58810E+01
        0.330    1.43518E+01
        0.360    1.30192E+01
        0.390    1.18470E+01
        0.420    1.07956E+01
        0.450    9.86720E+00
        0.480    9.03462E+00
        0.510    8.29019E+00
        0.540    7.62466E+00
        0.570    7.02172E+00
        0.600    6.47956E+00
        0.630    5.99362E+00
        0.660    5.54934E+00
        0.690    5.14820E+00
        0.720    4.78401E+00
        0.750    4.45071E+00
        0.780    4.15032E+00
        0.810    3.87129E+00
        0.840    3.61682E+00
        0.870    3.38544E+00
        0.900    3.17121E+00
        0.930    2.97544E+00
        0.960    2.79390E+00
        0.990    2.62679E+00
        1.020    2.47325E+00
        1.050    2.32875E+00
        1.080    2.19737E+00
        1.110    2.07474E+00
        1.140    1.96135E+00
        1.170    1.85644E+00
        1.200    1.75624E+00
        1.230    1.66527E+00
        1.260    1.57942E+00
        1.290    1.49949E+00
        1.320    1.42513E+00
        1.350    1.35563E+00
        1.380    1.28914E+00
        1.410    1.22922E+00
        1.440    1.17116E+00
        1.470    1.11697E+00
        1.500    1.06565E+00
        1.530    1.01831E+00
        1.560    9.73465E-01
        1.590    9.30821E-01
        1.620    8.90735E-01
        1.650    8.53157E-01
        1.680    8.17752E-01
        1.710    7.83566E-01
        1.740    7.51845E-01
        1.770    7.21381E-01
        1.800    6.93308E-01
        1.830    6.66524E-01
        1.860    6.40882E-01
        1.890    6.16533E-01
        1.920    5.93025E-01
        1.950    5.71037E-01
        1.980    5.50339E-01
        2.010    5.30174E-01
        2.040    5.11742E-01
        2.070    4.93955E-01
        2.100    4.76801E-01
        2.130    4.59927E-01
        2.160    4.44557E-01
        2.190    4.29801E-01
        2.220    4.15452E-01
        2.250    4.01715E-01
        2.280    3.89062E-01
        2.310    3.76300E-01
        2.340    3.64825E-01
        2.370    3.53428E-01
        2.400    3.42441E-01
        2.430    3.31988E-01
        2.460    3.22025E-01
        2.490    3.12405E-01
        2.520    3.03201E-01
        2.550    2.94400E-01
        2.580    2.85901E-01
        2.610    2.77745E-01
        2.640    2.69870E-01
        2.670    2.62580E-01
        2.700    2.55500E-01
        2.730    2.48525E-01
        2.760    2.41748E-01
        2.790    2.35253E-01
        2.820    2.29116E-01
        2.850    2.23204E-01
        2.880    2.17330E-01
        2.910    2.11701E-01
        2.940    2.06557E-01
        2.970    2.01415E-01
        3.000    1.96496E-01
