          %pt            Sj
        0.030    7.72113E+00
        0.060    6.79875E+00
        0.090    6.08898E+00
        0.120    5.50477E+00
        0.150    4.99355E+00
        0.180    4.55252E+00
        0.210    4.16001E+00
        0.240    3.81272E+00
        0.270    3.50242E+00
        0.300    3.22124E+00
        0.330    2.97121E+00
        0.360    2.74272E+00
        0.390    2.53722E+00
        0.420    2.34914E+00
        0.450    2.17858E+00
        0.480    2.02362E+00
        0.510    1.88273E+00
        0.540    1.75329E+00
        0.570    1.63340E+00
        0.600    1.52514E+00
        0.630    1.42533E+00
        0.660    1.33254E+00
        0.690    1.24931E+00
        0.720    1.17200E+00
        0.750    1.10003E+00
        0.780    1.03371E+00
        0.810    9.72017E-01
        0.840    9.14844E-01
        0.870    8.61797E-01
        0.900    8.13090E-01
        0.930    7.67760E-01
        0.960    7.25324E-01
        0.990    6.86546E-01
        1.020    6.49700E-01
        1.050    6.15411E-01
        1.080    5.82962E-01
        1.110    5.53021E-01
        1.140    5.24824E-01
        1.170    4.98694E-01
        1.200    4.74359E-01
        1.230    4.51483E-01
        1.260    4.29558E-01
        1.290    4.09520E-01
        1.320    3.90119E-01
        1.350    3.72399E-01
        1.380    3.55196E-01
        1.410    3.39563E-01
        1.440    3.24340E-01
        1.470    3.10213E-01
        1.500    2.96885E-01
        1.530    2.84157E-01
        1.560    2.72187E-01
        1.590    2.60907E-01
        1.620    2.50061E-01
        1.650    2.39996E-01
        1.680    2.30354E-01
        1.710    2.21099E-01
        1.740    2.12569E-01
        1.770    2.04331E-01
        1.800    1.96566E-01
        1.830    1.89071E-01
        1.860    1.81999E-01
        1.890    1.75268E-01
        1.920    1.68932E-01
        1.950    1.62935E-01
        1.980    1.57034E-01
        2.010    1.51535E-01
        2.040    1.46205E-01
        2.070    1.41133E-01
        2.100    1.36260E-01
        2.130    1.31655E-01
        2.160    1.27345E-01
        2.190    1.23145E-01
        2.220    1.19009E-01
        2.250    1.15221E-01
        2.280    1.11495E-01
        2.310    1.07995E-01
        2.340    1.04664E-01
        2.370    1.01410E-01
        2.400    9.82586E-02
        2.430    9.52980E-02
        2.460    9.24819E-02
        2.490    8.97549E-02
        2.520    8.70718E-02
        2.550    8.45470E-02
        2.580    8.20360E-02
        2.610    7.97710E-02
        2.640    7.75318E-02
        2.670    7.53218E-02
        2.700    7.32798E-02
        2.730    7.12829E-02
        2.760    6.93404E-02
        2.790    6.74894E-02
        2.820    6.56515E-02
        2.850    6.39434E-02
        2.880    6.23080E-02
        2.910    6.06915E-02
        2.940    5.90736E-02
        2.970    5.76695E-02
        3.000    5.61762E-02
        3.030    5.47989E-02
        3.060    5.34563E-02
        3.090    5.21464E-02
        3.120    5.09151E-02
        3.150    4.96733E-02
        3.180    4.84976E-02
        3.210    4.73475E-02
        3.240    4.62609E-02
        3.270    4.51724E-02
        3.300    4.41859E-02
        3.330    4.31807E-02
        3.360    4.21947E-02
        3.390    4.12927E-02
        3.420    4.03709E-02
        3.450    3.94852E-02
        3.480    3.86392E-02
        3.510    3.77887E-02
        3.540    3.69877E-02
        3.570    3.62332E-02
        3.600    3.54628E-02
        3.630    3.47630E-02
        3.660    3.40022E-02
        3.690    3.33471E-02
        3.720    3.26565E-02
        3.750    3.20059E-02
        3.780    3.13800E-02
        3.810    3.07600E-02
        3.840    3.01643E-02
        3.870    2.96027E-02
        3.900    2.90380E-02
        3.930    2.84696E-02
        3.960    2.79329E-02
        3.990    2.74301E-02
        4.020    2.69199E-02
        4.050    2.64277E-02
        4.080    2.59500E-02
        4.110    2.54697E-02
        4.140    2.50333E-02
        4.170    2.46034E-02
        4.200    2.41494E-02
        4.230    2.37081E-02
        4.260    2.33344E-02
        4.290    2.29102E-02
        4.320    2.25514E-02
        4.350    2.21582E-02
        4.380    2.17932E-02
        4.410    2.14307E-02
        4.440    2.10662E-02
        4.470    2.07299E-02
        4.500    2.03946E-02
        4.530    2.00663E-02
        4.560    1.97260E-02
        4.590    1.94332E-02
        4.620    1.91167E-02
        4.650    1.88459E-02
        4.680    1.85446E-02
        4.710    1.82588E-02
        4.740    1.79921E-02
        4.770    1.77079E-02
        4.800    1.74403E-02
        4.830    1.71810E-02
        4.860    1.69292E-02
        4.890    1.66755E-02
        4.920    1.64403E-02
        4.950    1.62061E-02
        4.980    1.59760E-02
        5.010    1.57648E-02
        5.040    1.55294E-02
        5.070    1.53208E-02
        5.100    1.50887E-02
        5.130    1.48979E-02
        5.160    1.46887E-02
        5.190    1.44903E-02
        5.220    1.42983E-02
        5.250    1.41146E-02
        5.280    1.39097E-02
        5.310    1.37242E-02
        5.340    1.35614E-02
        5.370    1.33875E-02
        5.400    1.32105E-02
        5.430    1.30401E-02
        5.460    1.28766E-02
        5.490    1.27074E-02
        5.520    1.25516E-02
        5.550    1.24046E-02
        5.580    1.22362E-02
        5.610    1.20951E-02
        5.640    1.19449E-02
        5.670    1.18043E-02
        5.700    1.16529E-02
        5.730    1.15198E-02
        5.760    1.13833E-02
        5.790    1.12396E-02
        5.820    1.11185E-02
        5.850    1.10023E-02
        5.880    1.08643E-02
        5.910    1.07459E-02
        5.940    1.06242E-02
        5.970    1.05061E-02
        6.000    1.03836E-02
        6.030    1.02691E-02
        6.060    1.01565E-02
        6.090    1.00400E-02
        6.120    9.93167E-03
        6.150    9.82475E-03
        6.180    9.71401E-03
        6.210    9.62451E-03
        6.240    9.51970E-03
        6.270    9.42354E-03
        6.300    9.31736E-03
        6.330    9.22118E-03
        6.360    9.12049E-03
        6.390    9.03145E-03
        6.420    8.93237E-03
        6.450    8.85426E-03
        6.480    8.75760E-03
        6.510    8.67443E-03
        6.540    8.58692E-03
        6.570    8.48350E-03
        6.600    8.41206E-03
        6.630    8.32882E-03
        6.660    8.25399E-03
        6.690    8.17309E-03
        6.720    8.09379E-03
        6.750    8.01398E-03
        6.780    7.93983E-03
        6.810    7.86731E-03
        6.840    7.79357E-03
        6.870    7.72521E-03
        6.900    7.65381E-03
        6.930    7.58328E-03
        6.960    7.50911E-03
        6.990    7.44213E-03
        7.020    7.37069E-03
        7.050    7.30341E-03
        7.080    7.24206E-03
        7.110    7.18556E-03
        7.140    7.11620E-03
        7.170    7.05758E-03
        7.200    6.98887E-03
        7.230    6.93042E-03
        7.260    6.87497E-03
        7.290    6.80855E-03
        7.320    6.75954E-03
        7.350    6.69011E-03
        7.380    6.63836E-03
        7.410    6.58776E-03
        7.440    6.53274E-03
        7.470    6.47120E-03
        7.500    6.42025E-03
        7.530    6.36641E-03
        7.560    6.31798E-03
        7.590    6.26645E-03
        7.620    6.21784E-03
        7.650    6.16492E-03
        7.680    6.11913E-03
        7.710    6.06693E-03
        7.740    6.02192E-03
        7.770    5.97428E-03
        7.800    5.92276E-03
        7.830    5.87841E-03
        7.860    5.83065E-03
        7.890    5.78563E-03
        7.920    5.74442E-03
        7.950    5.70154E-03
        7.980    5.66127E-03
        8.010    5.61577E-03
        8.040    5.57510E-03
        8.070    5.53364E-03
        8.100    5.47879E-03
        8.130    5.45182E-03
        8.160    5.40953E-03
        8.190    5.36287E-03
        8.220    5.33160E-03
        8.250    5.29046E-03
        8.280    5.25678E-03
        8.310    5.21611E-03
        8.340    5.18337E-03
        8.370    5.14218E-03
        8.400    5.10721E-03
        8.430    5.06883E-03
        8.460    5.02586E-03
        8.490    5.00181E-03
        8.520    4.96736E-03
        8.550    4.93367E-03
        8.580    4.89913E-03
        8.610    4.86584E-03
        8.640    4.83121E-03
        8.670    4.79369E-03
        8.700    4.76513E-03
        8.730    4.73457E-03
        8.760    4.70257E-03
        8.790    4.67317E-03
        8.820    4.63763E-03
        8.850    4.60987E-03
        8.880    4.58368E-03
        8.910    4.55211E-03
        8.940    4.52079E-03
        8.970    4.48863E-03
        9.000    4.46281E-03
        9.030    4.43436E-03
        9.060    4.40766E-03
