          %pt            Sj
        0.040    4.74020E-06
        0.080    3.18960E-05
        0.120    1.00362E-04
        0.160    2.31554E-04
        0.200    4.49414E-04
        0.240    7.79068E-04
        0.280    1.24525E-03
        0.320    1.87097E-03
        0.360    2.67675E-03
        0.400    3.68043E-03
        0.440    4.89735E-03
        0.480    6.34093E-03
        0.520    8.02326E-03
        0.560    9.95556E-03
        0.600    1.21485E-02
        0.640    1.46120E-02
        0.680    1.73552E-02
        0.720    2.03858E-02
        0.760    2.37090E-02
        0.800    2.73272E-02
        0.840    3.12387E-02
        0.880    3.54366E-02
        0.920    3.99081E-02
        0.960    4.46332E-02
        1.000    4.95839E-02
        1.040    5.47234E-02
        1.080    6.00052E-02
        1.120    6.53725E-02
        1.160    7.07584E-02
        1.200    7.60858E-02
        1.240    8.12679E-02
        1.280    8.62097E-02
        1.320    9.08092E-02
        1.360    9.49599E-02
        1.400    9.85534E-02
        1.440    1.01483E-01
        1.480    1.03647E-01
        1.520    1.04953E-01
        1.560    1.05325E-01
        1.600    1.04705E-01
        1.640    1.03060E-01
        1.680    1.00390E-01
        1.720    9.67267E-02
        1.760    9.21470E-02
        1.800    8.67704E-02
        1.840    8.07647E-02
        1.880    7.43447E-02
        1.920    6.77685E-02
        1.960    6.13249E-02
        2.000    5.53036E-02
        2.040    4.99023E-02
        2.080    4.50939E-02
        2.120    4.08066E-02
        2.160    3.69779E-02
        2.200    3.35536E-02
        2.240    3.04864E-02
        2.280    2.77352E-02
        2.320    2.52639E-02
        2.360    2.30411E-02
        2.400    2.10391E-02
        2.440    1.92335E-02
        2.480    1.76031E-02
        2.520    1.61290E-02
        2.560    1.47945E-02
        2.600    1.35851E-02
        2.640    1.24876E-02
        2.680    1.14906E-02
        2.720    1.05839E-02
        2.760    9.75840E-03
        2.800    9.00600E-03
        2.840    8.31952E-03
        2.880    7.69252E-03
        2.920    7.11929E-03
        2.960    6.59468E-03
        3.000    6.11410E-03
        3.040    5.67344E-03
        3.080    5.26899E-03
        3.120    4.89745E-03
        3.160    4.55582E-03
        3.200    4.24141E-03
        3.240    3.95181E-03
        3.280    3.68482E-03
        3.320    3.43848E-03
        3.360    3.21100E-03
        3.400    3.00076E-03
        3.440    2.80630E-03
        3.480    2.62631E-03
        3.520    2.45956E-03
        3.560    2.30498E-03
        3.600    2.16156E-03
        3.640    2.02840E-03
        3.680    1.90467E-03
        3.720    1.78964E-03
        3.760    1.68261E-03
        3.800    1.58295E-03
        3.840    1.49010E-03
        3.880    1.40353E-03
        3.920    1.32276E-03
        3.960    1.24736E-03
        4.000    1.17693E-03
        4.040    1.11109E-03
        4.080    1.04951E-03
        4.120    9.91874E-04
        4.160    9.37901E-04
        4.200    8.87328E-04
        4.240    8.39911E-04
        4.280    7.95430E-04
        4.320    7.53678E-04
        4.360    7.14466E-04
        4.400    6.77619E-04
        4.440    6.42977E-04
        4.480    6.10389E-04
        4.520    5.79718E-04
        4.560    5.50837E-04
        4.600    5.23626E-04
        4.640    4.97976E-04
        4.680    4.73787E-04
        4.720    4.50963E-04
        4.760    4.29417E-04
        4.800    4.09069E-04
        4.840    3.89842E-04
        4.880    3.71666E-04
        4.920    3.54477E-04
        4.960    3.38212E-04
        5.000    3.22817E-04
        5.040    3.08238E-04
        5.080    2.94425E-04
        5.120    2.81333E-04
        5.160    2.68920E-04
        5.200    2.57145E-04
        5.240    2.45970E-04
        5.280    2.35362E-04
        5.320    2.25287E-04
        5.360    2.15715E-04
        5.400    2.06617E-04
        5.440    1.97967E-04
        5.480    1.89740E-04
        5.520    1.81911E-04
        5.560    1.74459E-04
        5.600    1.67364E-04
        5.640    1.60605E-04
        5.680    1.54166E-04
        5.720    1.48027E-04
        5.760    1.42174E-04
        5.800    1.36591E-04
        5.840    1.31265E-04
        5.880    1.26180E-04
        5.920    1.21326E-04
        5.960    1.16691E-04
        6.000    1.12262E-04
        6.040    1.08029E-04
        6.080    1.03984E-04
        6.120    1.00115E-04
        6.160    9.64145E-05
        6.200    9.28740E-05
        6.240    8.94855E-05
        6.280    8.62416E-05
        6.320    8.31351E-05
        6.360    8.01595E-05
        6.400    7.73085E-05
        6.440    7.45760E-05
        6.480    7.19565E-05
        6.520    6.94446E-05
        6.560    6.70353E-05
        6.600    6.47237E-05
        6.640    6.25053E-05
        6.680    6.03759E-05
        6.720    5.83313E-05
        6.760    5.63678E-05
        6.800    5.44815E-05
        6.840    5.26690E-05
        6.880    5.09271E-05
        6.920    4.92525E-05
        6.960    4.76424E-05
        7.000    4.60938E-05
        7.040    4.46040E-05
        7.080    4.31706E-05
        7.120    4.17910E-05
        7.160    4.04630E-05
        7.200    3.91843E-05
        7.240    3.79529E-05
        7.280    3.67667E-05
        7.320    3.56239E-05
        7.360    3.45225E-05
        7.400    3.34610E-05
        7.440    3.24377E-05
        7.480    3.14509E-05
        7.520    3.04992E-05
        7.560    2.95812E-05
        7.600    2.86954E-05
        7.640    2.78406E-05
        7.680    2.70156E-05
        7.720    2.62192E-05
        7.760    2.54502E-05
        7.800    2.47075E-05
        7.840    2.39901E-05
        7.880    2.32970E-05
        7.920    2.26274E-05
        7.960    2.19801E-05
        8.000    2.13545E-05
        8.040    2.07497E-05
        8.080    2.01649E-05
        8.120    1.95993E-05
        8.160    1.90521E-05
        8.200    1.85228E-05
        8.240    1.80107E-05
        8.280    1.75150E-05
        8.320    1.70353E-05
        8.360    1.65708E-05
        8.400    1.61211E-05
        8.440    1.56856E-05
        8.480    1.52638E-05
        8.520    1.48553E-05
        8.560    1.44594E-05
        8.600    1.40758E-05
        8.640    1.37041E-05
        8.680    1.33438E-05
        8.720    1.29945E-05
        8.760    1.26558E-05
        8.800    1.23274E-05
        8.840    1.20088E-05
        8.880    1.16999E-05
        8.920    1.14001E-05
        8.960    1.11093E-05
        9.000    1.08271E-05
        9.040    1.05532E-05
        9.080    1.02874E-05
        9.120    1.00293E-05
        9.160    9.77867E-06
        9.200    9.53534E-06
        9.240    9.29901E-06
        9.280    9.06946E-06
        9.320    8.84647E-06
        9.360    8.62982E-06
        9.400    8.41931E-06
        9.440    8.21473E-06
        9.480    8.01589E-06
        9.520    7.82262E-06
        9.560    7.63472E-06
        9.600    7.45203E-06
        9.640    7.27438E-06
        9.680    7.10161E-06
        9.720    6.93358E-06
        9.760    6.77012E-06
        9.800    6.61110E-06
        9.840    6.45638E-06
        9.880    6.30582E-06
        9.920    6.15930E-06
        9.960    6.01670E-06
       10.000    5.87789E-06
       10.040    5.74275E-06
       10.080    5.61118E-06
       10.120    5.48307E-06
       10.160    5.35831E-06
       10.200    5.23681E-06
       10.240    5.11846E-06
       10.280    5.00318E-06
       10.320    4.89087E-06
       10.360    4.78144E-06
       10.400    4.67481E-06
       10.440    4.57089E-06
       10.480    4.46962E-06
       10.520    4.37091E-06
       10.560    4.27468E-06
       10.600    4.18087E-06
       10.640    4.08941E-06
       10.680    4.00023E-06
       10.720    3.91326E-06
       10.760    3.82844E-06
       10.800    3.74571E-06
       10.840    3.66501E-06
       10.880    3.58629E-06
       10.920    3.50949E-06
       10.960    3.43455E-06
       11.000    3.36143E-06
       11.040    3.29007E-06
       11.080    3.22043E-06
       11.120    3.15246E-06
       11.160    3.08610E-06
       11.200    3.02133E-06
       11.240    2.95809E-06
       11.280    2.89635E-06
       11.320    2.83606E-06
       11.360    2.77718E-06
       11.400    2.71968E-06
       11.440    2.66352E-06
       11.480    2.60866E-06
       11.520    2.55508E-06
       11.560    2.50273E-06
       11.600    2.45158E-06
       11.640    2.40160E-06
       11.680    2.35277E-06
       11.720    2.30505E-06
       11.760    2.25841E-06
       11.800    2.21283E-06
       11.840    2.16827E-06
       11.880    2.12472E-06
       11.920    2.08214E-06
       11.960    2.04051E-06
       12.000    1.99981E-06
       12.040    1.96001E-06
       12.080    1.92109E-06
       12.120    1.88303E-06
       12.160    1.84581E-06
       12.200    1.80940E-06
       12.240    1.77379E-06
       12.280    1.73896E-06
       12.320    1.70488E-06
       12.360    1.67154E-06
       12.400    1.63892E-06
       12.440    1.60700E-06
       12.480    1.57576E-06
       12.520    1.54520E-06
       12.560    1.51529E-06
       12.600    1.48601E-06
       12.640    1.45735E-06
       12.680    1.42930E-06
       12.720    1.40185E-06
       12.760    1.37497E-06
       12.800    1.34865E-06
       12.840    1.32288E-06
       12.880    1.29766E-06
       12.920    1.27295E-06
       12.960    1.24876E-06
       13.000    1.22507E-06
       13.040    1.20187E-06
       13.080    1.17914E-06
       13.120    1.15689E-06
       13.160    1.13508E-06
       13.200    1.11373E-06
       13.240    1.09280E-06
       13.280    1.07230E-06
       13.320    1.05222E-06
       13.360    1.03254E-06
       13.400    1.01326E-06
       13.440    9.94369E-07
       13.480    9.75855E-07
       13.520    9.57710E-07
       13.560    9.39927E-07
       13.600    9.22498E-07
       13.640    9.05415E-07
       13.680    8.88670E-07
       13.720    8.72256E-07
       13.760    8.56165E-07
       13.800    8.40390E-07
       13.840    8.24925E-07
       13.880    8.09762E-07
       13.920    7.94895E-07
       13.960    7.80317E-07
       14.000    7.66023E-07
       14.040    7.52006E-07
       14.080    7.38260E-07
