          %pt            Sj
        0.040    4.70500E-06
        0.080    2.95259E-05
        0.120    8.48130E-05
        0.160    1.76205E-04
        0.200    3.05644E-04
        0.240    4.71938E-04
        0.280    6.71319E-04
        0.320    8.98054E-04
        0.360    1.14509E-03
        0.400    1.40471E-03
        0.440    1.66912E-03
        0.480    1.93097E-03
        0.520    2.18375E-03
        0.560    2.42207E-03
        0.600    2.64180E-03
        0.640    2.84013E-03
        0.680    3.01546E-03
        0.720    3.16731E-03
        0.760    3.29608E-03
        0.800    3.40292E-03
        0.840    3.48944E-03
        0.880    3.55757E-03
        0.920    3.60937E-03
        0.960    3.64689E-03
        1.000    3.67209E-03
        1.040    3.68675E-03
        1.080    3.69242E-03
        1.120    3.69039E-03
        1.160    3.68172E-03
        1.200    3.66720E-03
        1.240    3.64740E-03
        1.280    3.62266E-03
        1.320    3.59309E-03
        1.360    3.55863E-03
        1.400    3.51904E-03
        1.440    3.47388E-03
        1.480    3.42259E-03
        1.520    3.36442E-03
        1.560    3.29850E-03
        1.600    3.22381E-03
        1.640    3.13921E-03
        1.680    3.04346E-03
        1.720    2.93522E-03
        1.760    2.81310E-03
        1.800    2.67575E-03
        1.840    2.52186E-03
        1.880    2.35040E-03
        1.920    2.16081E-03
        1.960    1.95361E-03
        2.000    1.73195E-03
        2.040    1.52420E-03
        2.080    1.34451E-03
        2.120    1.18870E-03
        2.160    1.05324E-03
        2.200    9.35199E-04
        2.240    8.32097E-04
        2.280    7.41835E-04
        2.320    6.62642E-04
        2.360    5.93016E-04
        2.400    5.31676E-04
        2.440    4.77526E-04
        2.480    4.29630E-04
        2.520    3.87186E-04
        2.560    3.49502E-04
        2.600    3.15985E-04
        2.640    2.86121E-04
        2.680    2.59467E-04
        2.720    2.35638E-04
        2.760    2.14303E-04
        2.800    1.95170E-04
        2.840    1.77985E-04
        2.880    1.62527E-04
        2.920    1.48603E-04
        2.960    1.36041E-04
        3.000    1.24694E-04
        3.040    1.14429E-04
        3.080    1.05132E-04
        3.120    9.67004E-05
        3.160    8.90437E-05
        3.200    8.20822E-05
        3.240    7.57455E-05
        3.280    6.99705E-05
        3.320    6.47015E-05
        3.360    5.98888E-05
        3.400    5.54880E-05
        3.440    5.14594E-05
        3.480    4.77677E-05
        3.520    4.43810E-05
        3.560    4.12712E-05
        3.600    3.84127E-05
        3.640    3.57827E-05
        3.680    3.33606E-05
        3.720    3.11281E-05
        3.760    2.90683E-05
        3.800    2.71662E-05
        3.840    2.54081E-05
        3.880    2.37817E-05
        3.920    2.22759E-05
        3.960    2.08807E-05
        4.000    1.95867E-05
        4.040    1.83858E-05
        4.080    1.72704E-05
        4.120    1.62337E-05
        4.160    1.52692E-05
        4.200    1.43714E-05
        4.240    1.35349E-05
        4.280    1.27551E-05
        4.320    1.20276E-05
        4.360    1.13484E-05
        4.400    1.07140E-05
        4.440    1.01208E-05
        4.480    9.56602E-06
        4.520    9.04668E-06
        4.560    8.56027E-06
        4.600    8.10439E-06
        4.640    7.67688E-06
        4.680    7.27572E-06
        4.720    6.89906E-06
        4.760    6.54520E-06
        4.800    6.21258E-06
        4.840    5.89974E-06
        4.880    5.60535E-06
        4.920    5.32816E-06
        4.960    5.06704E-06
        5.000    4.82092E-06
        5.040    4.58881E-06
        5.080    4.36982E-06
        5.120    4.16308E-06
        5.160    3.96783E-06
        5.200    3.78333E-06
        5.240    3.60890E-06
        5.280    3.44393E-06
        5.320    3.28781E-06
        5.360    3.14001E-06
        5.400    3.00003E-06
        5.440    2.86739E-06
        5.480    2.74164E-06
        5.520    2.62238E-06
        5.560    2.50923E-06
        5.600    2.40183E-06
        5.640    2.29984E-06
        5.680    2.20295E-06
        5.720    2.11086E-06
        5.760    2.02332E-06
        5.800    1.94005E-06
        5.840    1.86082E-06
        5.880    1.78540E-06
        5.920    1.71359E-06
        5.960    1.64518E-06
        6.000    1.58000E-06
        6.040    1.51786E-06
        6.080    1.45861E-06
        6.120    1.40209E-06
        6.160    1.34815E-06
        6.200    1.29666E-06
        6.240    1.24749E-06
        6.280    1.20052E-06
        6.320    1.15564E-06
        6.360    1.11275E-06
        6.400    1.07173E-06
        6.440    1.03250E-06
        6.480    9.94958E-07
        6.520    9.59033E-07
        6.560    9.24639E-07
        6.600    8.91702E-07
        6.640    8.60151E-07
        6.680    8.29919E-07
        6.720    8.00943E-07
        6.760    7.73162E-07
        6.800    7.46521E-07
        6.840    7.20963E-07
        6.880    6.96440E-07
        6.920    6.72903E-07
        6.960    6.50305E-07
        7.000    6.28605E-07
        7.040    6.07760E-07
        7.080    5.87731E-07
        7.120    5.68483E-07
        7.160    5.49979E-07
        7.200    5.32186E-07
        7.240    5.15074E-07
        7.280    4.98612E-07
        7.320    4.82772E-07
        7.360    4.67526E-07
        7.400    4.52848E-07
        7.440    4.38715E-07
        7.480    4.25102E-07
        7.520    4.11989E-07
        7.560    3.99353E-07
        7.600    3.87174E-07
        7.640    3.75435E-07
        7.680    3.64115E-07
        7.720    3.53199E-07
        7.760    3.42669E-07
        7.800    3.32510E-07
        7.840    3.22706E-07
        7.880    3.13243E-07
        7.920    3.04107E-07
        7.960    2.95285E-07
        8.000    2.86765E-07
        8.040    2.78535E-07
        8.080    2.70584E-07
        8.120    2.62900E-07
        8.160    2.55473E-07
        8.200    2.48294E-07
        8.240    2.41353E-07
        8.280    2.34640E-07
        8.320    2.28147E-07
        8.360    2.21865E-07
        8.400    2.15787E-07
        8.440    2.09906E-07
        8.480    2.04212E-07
        8.520    1.98701E-07
        8.560    1.93364E-07
        8.600    1.88196E-07
        8.640    1.83191E-07
        8.680    1.78342E-07
        8.720    1.73643E-07
        8.760    1.69090E-07
        8.800    1.64678E-07
        8.840    1.60400E-07
        8.880    1.56253E-07
        8.920    1.52232E-07
        8.960    1.48332E-07
        9.000    1.44549E-07
        9.040    1.40879E-07
        9.080    1.37319E-07
        9.120    1.33863E-07
        9.160    1.30510E-07
        9.200    1.27255E-07
        9.240    1.24095E-07
        9.280    1.21027E-07
        9.320    1.18047E-07
        9.360    1.15154E-07
        9.400    1.12343E-07
        9.440    1.09612E-07
        9.480    1.06959E-07
        9.520    1.04381E-07
        9.560    1.01875E-07
        9.600    9.94392E-08
        9.640    9.70715E-08
        9.680    9.47695E-08
        9.720    9.25311E-08
        9.760    9.03542E-08
        9.800    8.82369E-08
        9.840    8.61774E-08
        9.880    8.41738E-08
        9.920    8.22243E-08
        9.960    8.03273E-08
       10.000    7.84811E-08
       10.040    7.66841E-08
       10.080    7.49349E-08
       10.120    7.32320E-08
       10.160    7.15740E-08
       10.200    6.99594E-08
       10.240    6.83870E-08
       10.280    6.68555E-08
       10.320    6.53636E-08
       10.360    6.39103E-08
       10.400    6.24942E-08
       10.440    6.11144E-08
       10.480    5.97698E-08
       10.520    5.84593E-08
       10.560    5.71819E-08
       10.600    5.59366E-08
       10.640    5.47226E-08
       10.680    5.35388E-08
       10.720    5.23845E-08
       10.760    5.12589E-08
       10.800    5.01610E-08
       10.840    4.90901E-08
       10.880    4.80454E-08
       10.920    4.70262E-08
       10.960    4.60319E-08
       11.000    4.50616E-08
       11.040    4.41147E-08
       11.080    4.31906E-08
       11.120    4.22887E-08
       11.160    4.14083E-08
       11.200    4.05488E-08
       11.240    3.97097E-08
       11.280    3.88903E-08
       11.320    3.80903E-08
       11.360    3.73090E-08
       11.400    3.65459E-08
       11.440    3.58006E-08
       11.480    3.50726E-08
       11.520    3.43614E-08
       11.560    3.36665E-08
       11.600    3.29876E-08
       11.640    3.23242E-08
       11.680    3.16760E-08
       11.720    3.10424E-08
       11.760    3.04232E-08
       11.800    2.98180E-08
       11.840    2.92263E-08
       11.880    2.86479E-08
       11.920    2.80824E-08
       11.960    2.75295E-08
       12.000    2.69888E-08
       12.040    2.64601E-08
       12.080    2.59431E-08
       12.120    2.54373E-08
       12.160    2.49427E-08
       12.200    2.44589E-08
       12.240    2.39855E-08
       12.280    2.35224E-08
       12.320    2.30694E-08
       12.360    2.26261E-08
       12.400    2.21923E-08
       12.440    2.17677E-08
       12.480    2.13523E-08
       12.520    2.09457E-08
       12.560    2.05477E-08
       12.600    2.01581E-08
       12.640    1.97767E-08
       12.680    1.94034E-08
       12.720    1.90379E-08
       12.760    1.86800E-08
       12.800    1.83295E-08
       12.840    1.79864E-08
       12.880    1.76503E-08
       12.920    1.73212E-08
       12.960    1.69989E-08
       13.000    1.66832E-08
       13.040    1.63739E-08
       13.080    1.60710E-08
       13.120    1.57742E-08
       13.160    1.54835E-08
       13.200    1.51986E-08
       13.240    1.49195E-08
       13.280    1.46461E-08
       13.320    1.43781E-08
       13.360    1.41154E-08
       13.400    1.38581E-08
       13.440    1.36058E-08
       13.480    1.33586E-08
       13.520    1.31162E-08
       13.560    1.28787E-08
       13.600    1.26458E-08
