          %pt            Sj
        0.040    8.87159E-03
        0.080    1.94883E-02
        0.120    3.07152E-02
        0.160    4.20423E-02
        0.200    5.30654E-02
        0.240    6.34433E-02
        0.280    7.28948E-02
        0.320    8.12010E-02
        0.360    8.82081E-02
        0.400    9.38271E-02
        0.440    9.80299E-02
        0.480    1.00843E-01
        0.520    1.02339E-01
        0.560    1.02627E-01
        0.600    1.01839E-01
        0.640    1.00123E-01
        0.680    9.76351E-02
        0.720    9.45253E-02
        0.760    9.09373E-02
        0.800    8.70012E-02
        0.840    8.28318E-02
        0.880    7.85269E-02
        0.920    7.41676E-02
        0.960    6.98187E-02
        1.000    6.55308E-02
        1.040    6.13418E-02
        1.080    5.72790E-02
        1.120    5.33611E-02
        1.160    4.96002E-02
        1.200    4.60029E-02
        1.240    4.25724E-02
        1.280    3.93090E-02
        1.320    3.62112E-02
        1.360    3.32764E-02
        1.400    3.05013E-02
        1.440    2.78822E-02
        1.480    2.54155E-02
        1.520    2.30973E-02
        1.560    2.09243E-02
        1.600    1.88928E-02
        1.640    1.69998E-02
        1.680    1.52420E-02
        1.720    1.36166E-02
        1.760    1.21208E-02
        1.800    1.07517E-02
        1.840    9.50676E-03
        1.880    8.38306E-03
        1.920    7.37775E-03
        1.960    6.48767E-03
        2.000    5.70905E-03
        2.040    5.03492E-03
        2.080    4.45108E-03
        2.120    3.94410E-03
        2.160    3.50271E-03
        2.200    3.11748E-03
        2.240    2.78046E-03
        2.280    2.48491E-03
        2.320    2.22517E-03
        2.360    1.99638E-03
        2.400    1.79443E-03
        2.440    1.61581E-03
        2.480    1.45750E-03
        2.520    1.31693E-03
        2.560    1.19187E-03
        2.600    1.08041E-03
        2.640    9.80890E-04
        2.680    8.91882E-04
        2.720    8.12139E-04
        2.760    7.40583E-04
        2.800    6.76269E-04
        2.840    6.18375E-04
        2.880    5.66182E-04
        2.920    5.19059E-04
        2.960    4.76454E-04
        3.000    4.37878E-04
        3.040    4.02903E-04
        3.080    3.71152E-04
        3.120    3.42289E-04
        3.160    3.16019E-04
        3.200    2.92079E-04
        3.240    2.70236E-04
        3.280    2.50283E-04
        3.320    2.32035E-04
        3.360    2.15329E-04
        3.400    2.00016E-04
        3.440    1.85966E-04
        3.480    1.73060E-04
        3.520    1.61194E-04
        3.560    1.50273E-04
        3.600    1.40211E-04
        3.640    1.30932E-04
        3.680    1.22368E-04
        3.720    1.14454E-04
        3.760    1.07137E-04
        3.800    1.00364E-04
        3.840    9.40893E-05
        3.880    8.82720E-05
        3.920    8.28739E-05
        3.960    7.78606E-05
        4.000    7.32011E-05
        4.040    6.88670E-05
        4.080    6.48324E-05
        4.120    6.10738E-05
        4.160    5.75696E-05
        4.200    5.43004E-05
        4.240    5.12481E-05
        4.280    4.83964E-05
        4.320    4.57302E-05
        4.360    4.32358E-05
        4.400    4.09006E-05
        4.440    3.87129E-05
        4.480    3.66623E-05
        4.520    3.47387E-05
        4.560    3.29334E-05
        4.600    3.12379E-05
        4.640    2.96447E-05
        4.680    2.81467E-05
        4.720    2.67373E-05
        4.760    2.54107E-05
        4.800    2.41612E-05
        4.840    2.29838E-05
        4.880    2.18736E-05
        4.920    2.08262E-05
        4.960    1.98377E-05
        5.000    1.89042E-05
        5.040    1.80223E-05
        5.080    1.71886E-05
        5.120    1.64001E-05
        5.160    1.56541E-05
        5.200    1.49478E-05
        5.240    1.42790E-05
        5.280    1.36452E-05
        5.320    1.30445E-05
        5.360    1.24747E-05
        5.400    1.19342E-05
        5.440    1.14211E-05
        5.480    1.09340E-05
        5.520    1.04712E-05
        5.560    1.00313E-05
        5.600    9.61316E-06
        5.640    9.21544E-06
        5.680    8.83701E-06
        5.720    8.47681E-06
        5.760    8.13382E-06
        5.800    7.80711E-06
        5.840    7.49577E-06
        5.880    7.19899E-06
        5.920    6.91598E-06
        5.960    6.64600E-06
        6.000    6.38837E-06
        6.040    6.14245E-06
        6.080    5.90761E-06
        6.120    5.68328E-06
        6.160    5.46893E-06
        6.200    5.26404E-06
        6.240    5.06813E-06
