          %pt            Sj
        0.040    1.94629E-02
        0.080    7.10640E-02
        0.120    1.47192E-01
        0.160    2.40615E-01
        0.200    3.44341E-01
        0.240    4.51850E-01
        0.280    5.57347E-01
        0.320    6.55957E-01
        0.360    7.43852E-01
        0.400    8.18295E-01
        0.440    8.77611E-01
        0.480    9.21105E-01
        0.520    9.48918E-01
        0.560    9.61872E-01
        0.600    9.61290E-01
        0.640    9.48831E-01
        0.680    9.26330E-01
        0.720    8.95668E-01
        0.760    8.58667E-01
        0.800    8.17016E-01
        0.840    7.72220E-01
        0.880    7.25576E-01
        0.920    6.78164E-01
        0.960    6.30861E-01
        1.000    5.84351E-01
        1.040    5.39156E-01
        1.080    4.95653E-01
        1.120    4.54108E-01
        1.160    4.14690E-01
        1.200    3.77500E-01
        1.240    3.42582E-01
        1.280    3.09942E-01
        1.320    2.79553E-01
        1.360    2.51368E-01
        1.400    2.25327E-01
        1.440    2.01357E-01
        1.480    1.79377E-01
        1.520    1.59305E-01
        1.560    1.41050E-01
        1.600    1.24522E-01
        1.640    1.09628E-01
        1.680    9.62727E-02
        1.720    8.43596E-02
        1.760    7.37913E-02
        1.800    6.44692E-02
        1.840    5.62937E-02
        1.880    4.91641E-02
        1.920    4.29791E-02
        1.960    3.76364E-02
        2.000    3.30333E-02
        2.040    2.90670E-02
        2.080    2.56408E-02
        2.120    2.26730E-02
        2.160    2.00955E-02
        2.200    1.78511E-02
        2.240    1.58920E-02
        2.280    1.41778E-02
        2.320    1.26744E-02
        2.360    1.13528E-02
        2.400    1.01886E-02
        2.440    9.16085E-03
        2.480    8.25164E-03
        2.520    7.44572E-03
        2.560    6.72996E-03
        2.600    6.09308E-03
        2.640    5.52534E-03
        2.680    5.01833E-03
        2.720    4.56478E-03
        2.760    4.15836E-03
        2.800    3.79358E-03
        2.840    3.46564E-03
        2.880    3.17036E-03
        2.920    2.90410E-03
        2.960    2.66363E-03
        3.000    2.44616E-03
        3.040    2.24920E-03
        3.080    2.07057E-03
        3.120    1.90835E-03
        3.160    1.76085E-03
        3.200    1.62655E-03
        3.240    1.50411E-03
        3.280    1.39237E-03
        3.320    1.29026E-03
        3.360    1.19684E-03
        3.400    1.11127E-03
        3.440    1.03282E-03
        3.480    9.60804E-04
        3.520    8.94631E-04
        3.560    8.33761E-04
        3.600    7.77714E-04
        3.640    7.26056E-04
        3.680    6.78397E-04
        3.720    6.34385E-04
        3.760    5.93704E-04
