          %pt            TT            TS            SS            SS2j            Tot
        0.500    5.71942E-01    1.07036E-02    2.52959E-03    3.54346E-07    5.85176E-01
        1.500    2.61717E-01    1.44888E-02    1.97792E-03    8.52093E-06    2.78192E-01
        2.500    6.30064E-02    6.94891E-03    8.70761E-04    1.47431E-05    7.08408E-02
        3.500    1.33421E-02    2.63701E-03    3.35451E-04    1.02871E-05    1.63249E-02
        4.500    2.73748E-03    9.23979E-04    1.32697E-04    5.09710E-06    3.79925E-03
        5.500    5.59016E-04    3.44290E-04    6.01749E-05    2.38052E-06    9.65862E-04
        6.500    1.14607E-04    1.46647E-04    3.07595E-05    1.17874E-06    2.93192E-04
        7.500    2.36572E-05    7.10557E-05    1.71324E-05    6.28698E-07    1.12474E-04
        8.500    4.92053E-06    3.79590E-05    1.01420E-05    3.56937E-07    5.33785E-05
        9.500    1.03118E-06    2.16993E-05    6.27069E-06    2.12606E-07    2.92138E-05
       10.500    2.17656E-07    1.29877E-05    3.99855E-06    1.31254E-07    1.73352E-05
       11.500    4.62488E-08    8.01881E-06    2.60461E-06    8.31775E-08    1.07529E-05
       12.500    9.88784E-09    5.05373E-06    1.71993E-06    5.36902E-08    6.83724E-06
       13.500    2.12597E-09    3.22545E-06    1.14394E-06    3.50749E-08    4.40659E-06
       14.500    4.59479E-10    2.07126E-06    7.61953E-07    2.30633E-08    2.85673E-06
       15.500    9.97801E-11    1.33069E-06    5.05527E-07    1.51892E-08    1.85150E-06
       16.500    2.17633E-11    8.50770E-07    3.32323E-07    9.97379E-09    1.19309E-06
       17.500    4.76604E-12    5.38459E-07    2.15279E-07    6.50087E-09    7.60244E-07
       18.500    1.04763E-12    3.35503E-07    1.36601E-07    4.18728E-09    4.76293E-07
       19.500    2.31076E-13    2.04541E-07    8.43184E-08    2.65282E-09    2.91512E-07
       20.500    5.11315E-14    1.21148E-07    5.02123E-08    1.64473E-09    1.73005E-07
