          %pt            TT            TS            SS            SS2j            Tot
        0.500    1.30413E-01    1.19551E-03    2.65517E-06    3.91273E-08    1.31611E-01
        1.500    6.78502E-02    1.91567E-03    3.13202E-05    9.49414E-07    6.97982E-02
        2.500    1.84132E-02    1.16741E-03    2.78721E-05    1.65975E-06    1.96101E-02
        3.500    4.28872E-03    5.33088E-04    1.30465E-05    1.15301E-06    4.83600E-03
        4.500    9.49515E-04    2.09312E-04    5.49360E-06    5.63294E-07    1.16488E-03
        5.500    2.06161E-04    8.08957E-05    2.57778E-06    2.53149E-07    2.89887E-04
        6.500    4.44089E-05    3.37445E-05    1.35462E-06    1.18765E-07    7.96267E-05
        7.500    9.53768E-06    1.54593E-05    7.73509E-07    5.97503E-08    2.58303E-05
        8.500    2.04712E-06    7.66910E-06    4.68550E-07    3.20249E-08    1.02168E-05
        9.500    4.39635E-07    4.04317E-06    2.95964E-07    1.80613E-08    4.79683E-06
       10.500    9.45294E-08    2.23023E-06    1.92526E-07    1.05986E-08    2.52789E-06
