          %pt            TT            TS            SS            SS2j            Tot
        0.500    5.27927E-03    8.85819E-07    2.36999E-10    8.75801E-12    5.28015E-03
        1.500    4.32788E-03    1.16595E-05    5.09585E-09    5.03648E-10    4.33955E-03
        2.500    1.86932E-03    1.94459E-05    4.06022E-09    1.20089E-09    1.88877E-03
        3.500    6.68068E-04    1.79184E-05    1.96638E-09    1.48306E-09    6.85990E-04
        4.500    2.20267E-04    1.11917E-05    9.12675E-10    1.20665E-09    2.31461E-04
        5.500    6.98386E-05    5.76052E-06    4.65262E-10    8.01440E-10    7.56004E-05
        6.500    2.16885E-05    2.61244E-06    2.60698E-10    4.64600E-10    2.43016E-05
        7.500    6.65609E-06    1.11201E-06    1.56269E-10    2.52319E-10    7.76851E-06
        8.500    2.02812E-06    4.66797E-07    9.81645E-11    1.37233E-10    2.49515E-06
        9.500    6.15153E-07    1.98097E-07    6.37297E-11    7.75118E-11    8.13392E-07
       10.500    1.86018E-07    8.56003E-08    4.23375E-11    4.58670E-11    2.71706E-07
