2.76 TeV: chisq sums over 2 mesons(D0, Ds).
scan: gamma0: 1.0-3.0(+0.1), q0: 7.0-15.0(+0.5).

Parameters: 1.0, 7.0 | Error: 30.377452152129898
Parameters: 1.0, 7.5 | Error: 21.60147736222179
Parameters: 1.0, 8.0 | Error: 15.886138109457299
Parameters: 1.0, 8.5 | Error: 12.0907744380494
Parameters: 1.0, 9.0 | Error: 9.527446614082342
Parameters: 1.0, 9.5 | Error: 7.769475567378098
Parameters: 1.0, 10.0 | Error: 6.54901911104734
Parameters: 1.0, 10.5 | Error: 5.692680558656275
Parameters: 1.0, 11.0 | Error: 5.087778108301007
Parameters: 1.0, 11.5 | Error: 4.657323491934364
Parameters: 1.0, 12.0 | Error: 4.350759193459919
Parameters: 1.0, 12.5 | Error: 4.132165768527661
Parameters: 1.0, 13.0 | Error: 3.9767454691306607
Parameters: 1.0, 13.5 | Error: 3.867180139097587
Parameters: 1.0, 14.0 | Error: 3.791265454458626
Parameters: 1.0, 14.5 | Error: 3.740158417232355
Parameters: 1.0, 15.0 | Error: 3.707016572296982
Parameters: 1.1, 7.0 | Error: 21.914390677917147
Parameters: 1.1, 7.5 | Error: 15.491407208302917
Parameters: 1.1, 8.0 | Error: 11.374150263323017
Parameters: 1.1, 8.5 | Error: 8.690194237220561
Parameters: 1.1, 9.0 | Error: 6.913467786513095
Parameters: 1.1, 9.5 | Error: 5.724106351116998
Parameters: 1.1, 10.0 | Error: 4.920918085796444
Parameters: 1.1, 10.5 | Error: 4.376742639293056
Parameters: 1.1, 11.0 | Error: 4.007586555364584
Parameters: 1.1, 11.5 | Error: 3.758544608412625
Parameters: 1.1, 12.0 | Error: 3.5924325190079758
Parameters: 1.1, 12.5 | Error: 3.484472424936635
Parameters: 1.1, 13.0 | Error: 3.41730380562467
Parameters: 1.1, 13.5 | Error: 3.378633320425673
Parameters: 1.1, 14.0 | Error: 3.3602034967270478
Parameters: 1.1, 14.5 | Error: 3.355859756323024
Parameters: 1.1, 15.0 | Error: 3.361391179034611
Parameters: 1.2, 7.0 | Error: 16.16586498075048
Parameters: 1.2, 7.5 | Error: 11.395194015888613
Parameters: 1.2, 8.0 | Error: 8.39482614195558
Parameters: 1.2, 8.5 | Error: 6.478527800678373
Parameters: 1.2, 9.0 | Error: 5.241767026159135
Parameters: 1.2, 9.5 | Error: 4.438827204731882
Parameters: 1.2, 10.0 | Error: 3.91771222224033
Parameters: 1.2, 10.5 | Error: 3.581468534925642
Parameters: 1.2, 11.0 | Error: 3.368712082798432
Parameters: 1.2, 11.5 | Error: 3.238842607289795
Parameters: 1.2, 12.0 | Error: 3.164494422123017
Parameters: 1.2, 12.5 | Error: 3.1278615999959
Parameters: 1.2, 13.0 | Error: 3.116925085608346
Parameters: 1.2, 13.5 | Error: 3.1230416035047384
Parameters: 1.2, 14.0 | Error: 3.140610991999612
Parameters: 1.2, 14.5 | Error: 3.16524460441047
Parameters: 1.2, 15.0 | Error: 3.1944731767968904
Parameters: 1.3, 7.0 | Error: 12.174017150619663
Parameters: 1.3, 7.5 | Error: 8.594964809384084
Parameters: 1.3, 8.0 | Error: 6.390631157095541
Parameters: 1.3, 8.5 | Error: 5.017438757454468
Parameters: 1.3, 9.0 | Error: 4.159230312764066
Parameters: 1.3, 9.5 | Error: 3.625318586031758
Parameters: 1.3, 10.0 | Error: 3.297984451411105
Parameters: 1.3, 10.5 | Error: 3.104405302928164
Parameters: 1.3, 11.0 | Error: 2.9974623870537522
Parameters: 1.3, 11.5 | Error: 2.9471684719125193
Parameters: 1.3, 12.0 | Error: 2.933750871151788
Parameters: 1.3, 12.5 | Error: 2.944116371157729
Parameters: 1.3, 13.0 | Error: 2.96950460905882
Parameters: 1.3, 13.5 | Error: 3.00425676576362
Parameters: 1.3, 14.0 | Error: 3.0441348077075903
Parameters: 1.3, 14.5 | Error: 3.08692020059181
Parameters: 1.3, 15.0 | Error: 3.13068106956672
Parameters: 1.4, 7.0 | Error: 9.35521150719717
Parameters: 1.4, 7.5 | Error: 6.650358272189172
Parameters: 1.4, 8.0 | Error: 5.02411457677795
Parameters: 1.4, 8.5 | Error: 4.043424212481051
Parameters: 1.4, 9.0 | Error: 3.4561552380625074
Parameters: 1.4, 9.5 | Error: 3.112456888605514
Parameters: 1.4, 10.0 | Error: 2.921380070449301
