5.02 TeV: chisq sums over 3 mesons(Jpsi, D0, Ds).
scan: gamma0: 3.7-3.9(+0.1), q0: 4.0-6.0(+0.1).

Parameters: 3.7, 4.0 | Error: 19.258595408628963
Parameters: 3.7, 4.1 | Error: 16.328328947172928
Parameters: 3.7, 4.2 | Error: 13.905974937980712
Parameters: 3.7, 4.3 | Error: 11.904797543477066
Parameters: 3.7, 4.4 | Error: 10.253966734236046
Parameters: 3.7, 4.5 | Error: 8.889462909290108
Parameters: 3.7, 4.6 | Error: 7.763560588579496
Parameters: 3.7, 4.7 | Error: 6.837639838343246
Parameters: 3.7, 4.8 | Error: 6.0776660421759985
Parameters: 3.7, 4.9 | Error: 5.4561001294954705
Parameters: 3.7, 5.0 | Error: 4.950032373197054
Parameters: 3.7, 5.1 | Error: 4.5408986088738
Parameters: 3.7, 5.2 | Error: 4.2129527029196
Parameters: 3.7, 5.3 | Error: 3.95312848003122
Parameters: 3.7, 5.4 | Error: 3.751037685633241
Parameters: 3.7, 5.5 | Error: 3.596018305233272
Parameters: 3.7, 5.6 | Error: 3.481236344854997
Parameters: 3.7, 5.7 | Error: 3.3998894729414317
Parameters: 3.7, 5.8 | Error: 3.3470459259060963
Parameters: 3.7, 5.9 | Error: 3.317327611979587
Parameters: 3.7, 6.0 | Error: 3.307560904967853
Parameters: 3.8, 4.0 | Error: 17.40867562351871
Parameters: 3.8, 4.1 | Error: 14.750789911701773
Parameters: 3.8, 4.2 | Error: 12.562551282767114
Parameters: 3.8, 4.3 | Error: 10.761942019087998
Parameters: 3.8, 4.4 | Error: 9.278158064186066
Parameters: 3.8, 4.5 | Error: 8.059168993800174
Parameters: 3.8, 4.6 | Error: 7.057689044714216
Parameters: 3.8, 4.7 | Error: 6.23860276735236
Parameters: 3.8, 4.8 | Error: 5.570569050027756
Parameters: 3.8, 4.9 | Error: 5.028013630736281
Parameters: 3.8, 5.0 | Error: 4.590672266404483
Parameters: 3.8, 5.1 | Error: 4.2406738069773535
Parameters: 3.8, 5.2 | Error: 3.964493435865266
Parameters: 3.8, 5.3 | Error: 3.749439986441148
Parameters: 3.8, 5.4 | Error: 3.585361355876283
Parameters: 3.8, 5.5 | Error: 3.463952254961616
Parameters: 3.8, 5.6 | Error: 3.3783492071127252
Parameters: 3.8, 5.7 | Error: 3.322462133412487
Parameters: 3.8, 5.8 | Error: 3.291435860518698
Parameters: 3.8, 5.9 | Error: 3.281058274769336
Parameters: 3.8, 6.0 | Error: 3.287967377644457
Parameters: 3.9, 4.0 | Error: 15.76836111060959
Parameters: 3.9, 4.1 | Error: 13.35947708343317
Parameters: 3.9, 4.2 | Error: 11.379252568548738
Parameters: 3.9, 4.3 | Error: 9.756602574074261
Parameters: 3.9, 4.4 | Error: 8.425018841944189
Parameters: 3.9, 4.5 | Error: 7.33615570534677
Parameters: 3.9, 4.6 | Error: 6.446221804681603
Parameters: 3.9, 4.7 | Error: 5.722614172802232
Parameters: 3.9, 4.8 | Error: 5.1358086893075425
Parameters: 3.9, 4.9 | Error: 4.664009254952941
Parameters: 3.9, 5.0 | Error: 4.2874345132077245
Parameters: 3.9, 5.1 | Error: 3.990912270903093
Parameters: 3.9, 5.2 | Error: 3.7599140439927172
Parameters: 3.9, 5.3 | Error: 3.58365792268017
Parameters: 3.9, 5.4 | Error: 3.453530421775193
Parameters: 3.9, 5.5 | Error: 3.3620065603936053
Parameters: 3.9, 5.6 | Error: 3.302008307036256
Parameters: 3.9, 5.7 | Error: 3.2681467011750547
Parameters: 3.9, 5.8 | Error: 3.256663841156506
Parameters: 3.9, 5.9 | Error: 3.262929541309513
Parameters: 3.9, 6.0 | Error: 3.283968506260705
The best parameters:
PAR(1) = 3.9
PAR(2) = 5.8
Minimal chisq: 3.256663841156506
