          %pt            TT            TS            SS            SS2j            Tot
        0.500    6.92290E-01    1.45105E-02    2.59726E-03    3.54832E-07    7.09398E-01
        1.250    5.30049E-01    2.48618E-02    2.38025E-03    5.57201E-06    5.57297E-01
        1.750    3.24786E-01    2.05924E-02    1.68309E-03    1.09615E-05    3.47073E-01
        2.250    1.83314E-01    1.46644E-02    1.10342E-03    1.43884E-05    1.99096E-01
        2.750    9.95278E-02    9.64724E-03    7.08542E-04    1.44112E-05    1.09898E-01
        3.250    5.30233E-02    6.06283E-03    4.47023E-04    1.22830E-05    5.95455E-02
        3.750    2.79928E-02    3.70015E-03    2.81693E-04    9.42057E-06    3.19841E-02
        4.250    1.47208E-02    2.22485E-03    1.81322E-04    6.79002E-06    1.71338E-02
        4.750    7.73306E-03    1.33634E-03    1.20621E-04    4.76761E-06    9.19479E-03
        5.250    4.06434E-03    8.10742E-04    8.30031E-05    3.34137E-06    4.96143E-03
        5.750    2.13912E-03    5.00701E-04    5.88681E-05    2.36806E-06    2.70106E-03
        6.250    1.12799E-03    3.16390E-04    4.28380E-05    1.70614E-06    1.48892E-03
        6.750    5.96084E-04    2.05197E-04    3.18521E-05    1.25105E-06    8.34385E-04
        7.250    3.15718E-04    1.36802E-04    2.41133E-05    9.32852E-07    4.77567E-04
        7.750    1.67608E-04    9.37675E-05    1.85332E-05    7.06220E-07    2.80615E-04
        8.500    6.51105E-05    5.59075E-05    1.27855E-05    4.76792E-07    1.34280E-04
        9.500    1.85979E-05    3.03924E-05    8.06068E-06    2.93046E-07    5.73440E-05
       11.000    2.88255E-06    1.38027E-05    4.24133E-06    1.49540E-07    2.10761E-05
       14.000    7.25411E-08    3.54226E-06    1.27476E-06    4.34417E-08    4.93300E-06
       20.000    5.26480E-11    2.28949E-07    9.33838E-08    3.49465E-09    3.25880E-07
