          %pt            TT            TS            SS            SS2j            Tot
        0.250    8.91336E-03    8.90431E-07    2.74136E-10    7.80961E-12    8.91425E-03
        0.750    1.24987E-02    1.56026E-05    2.10737E-08    9.12999E-10    1.25143E-02
        1.250    9.52754E-03    4.43922E-05    7.68888E-08    5.34829E-09    9.57202E-03
        1.750    6.00311E-03    6.83721E-05    1.00211E-07    1.16932E-08    6.07159E-03
        2.250    3.43813E-03    8.06931E-05    8.18499E-08    1.73357E-08    3.51892E-03
        2.750    1.86180E-03    8.15773E-05    5.73313E-08    2.15416E-08    1.94346E-03
        3.250    9.73087E-04    7.20599E-05    3.77706E-08    2.34115E-08    1.04521E-03
        3.750    4.96814E-04    5.61621E-05    2.42327E-08    2.23071E-08    5.53022E-04
        4.250    2.49626E-04    4.02719E-05    1.56206E-08    1.92512E-08    2.89933E-04
        4.750    1.24029E-04    2.73718E-05    1.03279E-08    1.56599E-08    1.51426E-04
        5.250    6.11319E-05    1.78120E-05    7.04935E-09    1.21748E-08    7.89631E-05
        5.750    2.99547E-05    1.11763E-05    4.96047E-09    9.09526E-09    4.11451E-05
        7.000    4.95020E-06    3.12698E-06    2.29370E-09    3.87513E-09    8.08335E-06
